Name,ID,MK_0,MK_1,MK_2,MK_3,MK_4,MK_5,MK_6,MK_7,MK_8,MK_9,MK_10,MK_11,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2PhDPABP,OPS36,-1.704349445,-1.275017783,-0.288743733,1.412924731,-0.874679376,1.717102475,0.918636908,1.18672462,1.637684792,0.779294722,0.38957661,-0.125981532,1,0,0,0,29
2CzPN,OPS37,0.291374457,-2.396534989,-1.909608253,-2.596150769,1.188549927,-0.585032166,-1.386026289,0.335347038,-2.098169503,-1.971889924,-0.302329895,-0.211518142,1,0,0,0,40
2tBuCzPN,OPS38,0.823247166,-2.022844706,-2.480567861,-2.805043121,-0.01967684,-1.18110178,1.787656341,-2.234428975,-2.414276518,-3.495646652,0.45482674,-0.830114578,1,0,0,0,37
2ClCzPN,OPS39,1.143541968,-2.591417941,-2.058497251,-2.85530333,1.440217992,0.074523402,-1.536063784,2.125893285,-3.605056301,0.506586665,-1.124537928,-0.236506444,1,0,0,0,30
1tBuDPAN,OPS40,-0.673479531,-1.146325018,-0.99958972,0.585609267,-2.363048351,1.10033376,3.025978799,-2.257628457,1.117759253,-2.131718318,0.742556951,-1.635119845,1,0,0,0,9
PNZN,OPS41,-1.554533822,-0.903362485,1.541409845,-1.971223462,0.952062748,-1.245666537,-1.688650716,-2.074225059,1.556332102,2.384740478,1.444604235,-2.317273375,1,0,0,0,9
biphenylPNZN,OPS42,-1.554533822,-0.903362485,1.541409845,-1.971223462,0.952062748,-1.245666537,-1.688650716,-2.074225059,1.556332102,2.384740478,1.444604235,-2.317273375,1,0,0,0,18
PTZN,OPS43,-1.093972936,-0.742259101,-1.24871038,-2.174365546,-1.630366367,-0.969622355,-4.943104902,-0.984785438,2.81580603,0.155788911,-0.971622334,-2.083702685,1,0,0,0,18
biphenylPTZN,OPS44,-1.093972936,-0.742259101,-1.24871038,-2.174365546,-1.630366367,-0.969622355,-4.943104902,-0.984785438,2.81580603,0.155788911,-0.971622334,-2.083702685,1,0,0,0,14
CF3PTZN,OPS45,0.862498266,-0.245141045,-1.172473187,-2.620950765,-2.104184742,-0.305524905,-4.807979525,-0.181872949,2.74797889,1.849705189,-1.364225021,-3.916515265,1,0,0,0,21
2DPAB,OPS46,-1.183406919,-1.58180938,-1.115818613,1.42432951,-1.288593015,2.146659505,0.685051899,0.992702245,1.386588949,0.173586007,0.576816854,-0.071337871,1,0,0,0,15
2DPAN,OPS47,-1.074260265,-1.592238759,-0.796276505,0.753778981,-1.087309841,1.705421542,0.234025214,0.651762836,1.300039129,-0.552701976,0.073653086,-0.778637977,1,0,0,0,24
