Name,ID,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2tBuCzPN,OPS38,17.31345178,17.74210924,6.885243919,-3.206476589,-0.638007895,-6.439953922,-6.478224812,-1.403360334,-0.924838418,1,0,0,0,37
2ClCzPN,OPS39,0.700427084,-17.12574915,4.099750704,3.732979369,4.815980117,-5.506407267,-4.600015193,-6.88216299,0.227812211,1,0,0,0,30
1tBuDPAN,OPS40,-7.30673789,21.35062857,-2.006992845,4.038228411,-0.123603086,-7.467311771,-2.014685758,-0.330399116,-1.102633496,1,0,0,0,9
PNZN,OPS41,-20.17371137,-3.186411304,-5.518736943,-3.428295039,-3.968506028,-2.890392888,1.897270355,-2.312365738,-2.399698009,1,0,0,0,9
biphenylPNZN,OPS42,3.503228842,0.722897393,-8.787900057,-1.158845017,-0.122526759,3.786680743,3.413040221,-4.105343563,-3.637429313,1,0,0,0,18
PTZN,OPS43,-19.79468084,-1.398141165,-8.460412174,-2.60060338,2.394606467,-6.942250738,2.165308522,-3.270331885,-5.123626947,1,0,0,0,18
biphenylPTZN,OPS44,3.339941997,1.835299535,-11.37523535,-0.168823959,3.163736946,2.173259267,3.608567645,-6.019694711,-6.064812708,1,0,0,0,14
CF3PTZN,OPS45,-1.060670415,-8.981093132,15.09829843,10.48873772,-3.314359481,15.36575976,-3.601735486,-5.839450318,-11.23023118,1,0,0,0,21
2DPAB,OPS46,-12.54861492,3.296973943,-13.52411036,0.919735158,-1.528697761,2.811718288,4.592843524,3.154598693,3.997179451,1,0,0,0,15
2DPAN,OPS47,-7.836204577,1.416131013,-12.02704774,-1.825306351,-3.486225128,-0.498352519,6.361845914,2.853573525,0.180767556,1,0,0,0,24
2tBuDPAN,OPS48,13.54913195,25.55371101,-0.565053824,4.754717877,2.065219522,-0.993354252,-1.689594818,1.285165134,-0.191783401,1,0,0,0,22
2MeDPAN,OPS49,-1.960536155,8.529891162,-5.901496643,1.161048088,-3.5588907,-4.41467336,5.643902131,0.950233509,-0.033090158,1,0,0,0,12
