Name,ID,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,23.49173841,-13.47359805,-1.625076171,-14.17428468,-1.541972776,-2.46343661,-2.263999194,-3.252859711,-3.749391621,0,0,0,1,74
4tBuCzIPN,OPS2,60.51329903,23.60491639,10.71209662,-10.25982536,4.2122513,0.705570298,-13.93197996,-0.754123686,1.736113066,0,0,0,1,47
4MeCzIPN,OPS3,32.47239481,-2.420786344,4.028010372,-13.59670993,0.066961834,-3.848341389,-3.903327691,-3.205364043,-1.835417395,0,0,0,1,37
4BrCzIPN,OPS4,34.53328809,-28.64668635,5.808387808,6.262194116,22.84983328,-14.43488126,-2.681991643,-5.708931358,-1.479335991,0,0,0,1,55
4OMeCzIPN,OPS5,37.53851181,-12.27194441,13.29278902,-6.343567192,-8.831135742,1.681836329,2.534670017,-14.65581158,17.52407996,0,0,0,1,0
4PhCzIPN,OPS6,61.65631154,-7.083217117,-6.626979325,-12.41463044,3.22272948,11.37557376,0.753856619,-6.3582826,-0.522074775,0,0,0,1,22
4DPAIPN,OPS7,20.91820057,-5.545183428,-5.60714402,-2.845534438,-8.336979907,-3.775409524,6.289039745,12.18716083,0.280683705,0,0,0,1,74
4tBuDPAIPN,OPS8,56.85012439,29.78845117,6.930022299,3.721963676,5.605450031,5.653870091,-10.89740361,8.091391034,5.973742335,0,0,0,1,17
4MeDPAIPN,OPS9,30.52083465,5.12519859,0.862972789,-0.135648224,-5.614193479,-5.077263872,3.187910917,9.06263233,2.909968498,0,0,0,1,29
4FDPAIPN,OPS10,25.78239577,-18.19761913,13.8632135,12.98701766,-14.69444646,10.5645484,6.212008476,6.342313155,7.926440462,0,0,0,1,71
4ClDPAIPN,OPS11,27.41272334,-15.42138136,3.110434324,11.03229024,2.506132938,-4.527171515,5.560518559,7.062337652,6.266228821,0,0,0,1,78
4BrDPAIPN,OPS12,31.48922204,-19.43132318,2.526535476,19.13102453,18.40994998,-14.42740307,5.611286007,7.311656199,4.478592293,0,0,0,1,74
3CzClIPN,OPS13,11.51760277,-14.10784794,-0.033657442,-10.8191507,-1.432081262,-4.902616754,-3.711621843,-1.665622082,-4.495554742,0,0,0,1,75
3tBuCzClIPN,OPS14,40.69080374,18.96918492,10.1415713,-7.440791172,1.709577692,-4.44976289,-11.08601847,0.819845908,-0.547086532,0,0,0,1,49
3OMeCzClIPN,OPS15,22.60166485,-12.48032617,12.72115219,-4.246792704,-8.391109629,-2.36244159,1.055786475,-11.35590648,12.9120688,0,0,0,1,0
