,R2_score
0,0.8272944350717936
1,0.8244749586926914
2,0.8772768316435356
3,0.8346849557816697
4,0.8411627613461758
5,0.7791738930492697
6,0.7852658328727633
7,0.818622152884103
8,0.8522633439363361
9,0.8720796709292827
10,0.8484067609738462
11,0.8566322370818291
12,0.8112052009009295
13,0.8880535024427421
14,0.8186029023301606
15,0.8916731211015327
16,0.868505687057133
17,0.9002291084620964
18,0.8691755454681852
19,0.848880548523349
20,0.8335524846474156
21,0.7896359894634603
22,0.8397510087482777
23,0.8272085033867758
24,0.8512295925935989
25,0.8514491640646201
26,0.8766592361220481
27,0.7940999607183217
28,0.8479593896099512
29,0.8406757358261608
30,0.8677187887003396
31,0.8692162478639692
32,0.8684452748244338
33,0.8699255294701399
34,0.8152000378331726
35,0.7613032367355181
36,0.8343489402638791
37,0.825518002114122
38,0.8261610025344085
39,0.8538225744578372
40,0.9086258937576902
41,0.8434836464665363
42,0.851545466100567
43,0.9059409710373053
44,0.8448800594580973
45,0.8817690390019963
46,0.8732422189545334
47,0.8848368013428114
48,0.8789978034455779
49,0.7877547634530027
50,0.8463913263869275
51,0.8002577131105112
52,0.8448490204641349
53,0.8243942532509229
54,0.8071512230433592
55,0.8613929714505391
56,0.8287383323577608
57,0.808806031986652
58,0.7929635542137263
59,0.8174913430930038
60,0.893952340775884
61,0.8660051713280724
62,0.7999643200030521
63,0.8923860234436717
64,0.8876407939939096
65,0.8736650555064958
66,0.8829707836531653
67,0.8368097878709396
68,0.8908248364600443
69,0.8690215294935686
70,0.8249434821669758
71,0.8000268054025005
72,0.8919257896733493
73,0.838509723474031
74,0.8596736406071239
75,0.8630770989394067
76,0.8561450680133547
77,0.8349751202990154
78,0.8409527784495848
79,0.8372089698976329
80,0.8563026278890493
81,0.8340031654511358
82,0.8409613913269498
83,0.8549892751422405
84,0.8746419367313603
85,0.8491062883602668
86,0.8607328259395188
87,0.8326144235791776
88,0.8466395577162057
89,0.8486909937459599
90,0.840288315189493
91,0.8235840268390426
92,0.8990956427403072
93,0.8868988955912834
94,0.812240882329724
95,0.8509991946997344
96,0.8360090188328014
97,0.8189589375639144
98,0.87653965871923
99,0.8734591679992019
