P(E_S1) + P(E_T1),P(E_S1) + P(HOMO),P(E_S1) + P(f_S1),P(E_T1) + P(HOMO),P(E_T1) + P(f_S1),P(dDM) + P(E_S1),P(dDM) + P(E_T1),P(dDM) + P(HOMO),P(dDM) + P(dEST),P(dDM) + P(f_S1),P(dEST) + P(E_S1),P(dEST) + P(E_T1),P(dEST) + P(HOMO),P(dEST) + P(f_S1),P(f_S1) + P(HOMO),P(E_S1) / P(E_T1),P(E_S1) / P(HOMO),P(E_S1) / P(dDM),P(E_S1) / P(dEST),P(E_S1) / P(f_S1),P(E_T1) / P(E_S1),P(E_T1) / P(HOMO),P(E_T1) / P(dDM),P(E_T1) / P(dEST),P(E_T1) / P(f_S1),P(HOMO) / P(E_S1),P(HOMO) / P(E_T1),P(HOMO) / P(dDM),P(HOMO) / P(dEST),P(HOMO) / P(f_S1),P(dDM) / P(E_S1),P(dDM) / P(E_T1),P(dDM) / P(HOMO),P(dDM) / P(dEST),P(dDM) / P(f_S1),P(dEST) / P(E_S1),P(dEST) / P(E_T1),P(dEST) / P(HOMO),P(dEST) / P(dDM),P(dEST) / P(f_S1),P(f_S1) / P(E_S1),P(f_S1) / P(E_T1),P(f_S1) / P(HOMO),P(f_S1) / P(dDM),P(f_S1) / P(dEST),P(E_S1) * P(E_T1),P(E_S1) * P(HOMO),P(E_S1) * P(f_S1),P(E_T1) * P(HOMO),P(E_T1) * P(f_S1),P(dDM) * P(E_S1),P(dDM) * P(E_T1),P(dDM) * P(HOMO),P(dDM) * P(dEST),P(dDM) * P(f_S1),P(dEST) * P(E_S1),P(dEST) * P(E_T1),P(dEST) * P(HOMO),P(dEST) * P(f_S1),P(f_S1) * P(HOMO),P(E_S1) - P(E_T1),P(E_S1) - P(HOMO),P(E_S1) - P(f_S1),P(E_T1) - P(HOMO),P(E_T1) - P(f_S1),P(dDM) - P(E_S1),P(dDM) - P(E_T1),P(dDM) - P(HOMO),P(dDM) - P(dEST),P(dDM) - P(f_S1),P(dEST) - P(E_S1),P(dEST) - P(E_T1),P(dEST) - P(HOMO),P(dEST) - P(f_S1),P(f_S1) - P(HOMO)
1.0899999999999999,0.67,0.8300000000000001,0.98,1.14,1.05,1.3599999999999999,0.9400000000000001,0.76,1.1,0.49,0.7999999999999999,0.38,0.54,0.72,0.5571428571428572,1.3928571428571428,0.5909090909090909,3.9,0.8863636363636364,1.7948717948717947,2.4999999999999996,1.0606060606060606,6.999999999999999,1.5909090909090908,0.717948717948718,0.4000000000000001,0.42424242424242425,2.8000000000000003,0.6363636363636365,1.6923076923076923,0.942857142857143,2.357142857142857,6.6,1.5,0.25641025641025644,0.14285714285714288,0.35714285714285715,0.15151515151515152,0.2272727272727273,1.1282051282051282,0.6285714285714287,1.5714285714285714,0.6666666666666666,4.3999999999999995,0.27299999999999996,0.10920000000000002,0.1716,0.196,0.308,0.2574,0.46199999999999997,0.18480000000000002,0.066,0.2904,0.03900000000000001,0.06999999999999999,0.028000000000000004,0.044000000000000004,0.12320000000000002,-0.30999999999999994,0.10999999999999999,-0.04999999999999999,0.41999999999999993,0.25999999999999995,0.27,-0.039999999999999925,0.38,0.56,0.22000000000000003,-0.29000000000000004,-0.6,-0.18000000000000002,-0.33999999999999997,0.15999999999999998
0.8799999999999999,0.74,0.61,1.04,0.9099999999999999,1.13,1.43,1.29,0.9099999999999999,1.16,0.36,0.6599999999999999,0.52,0.39,0.77,0.4915254237288135,0.6444444444444444,0.34523809523809523,4.142857142857142,0.9062499999999999,2.0344827586206895,1.3111111111111111,0.7023809523809523,8.428571428571427,1.8437499999999998,1.5517241379310347,0.7627118644067797,0.5357142857142857,6.428571428571428,1.40625,2.896551724137931,1.423728813559322,1.8666666666666665,11.999999999999998,2.625,0.24137931034482762,0.11864406779661019,0.15555555555555556,0.08333333333333334,0.21875000000000003,1.1034482758620692,0.5423728813559322,0.7111111111111111,0.380952380952381,4.571428571428571,0.17109999999999997,0.1305,0.0928,0.2655,0.1888,0.24359999999999998,0.49559999999999993,0.378,0.058800000000000005,0.2688,0.020300000000000002,0.0413,0.03150000000000001,0.022400000000000003,0.14400000000000002,-0.3,-0.16000000000000003,-0.030000000000000027,0.13999999999999996,0.26999999999999996,0.55,0.25,0.38999999999999996,0.77,0.52,-0.21999999999999997,-0.52,-0.38,-0.25,-0.13
0.8300000000000001,0.7150000000000001,0.73,0.9850000000000001,1.0,0.99,1.26,1.145,0.7899999999999999,1.16,0.36000000000000004,0.63,0.515,0.53,0.885,0.5090909090909091,0.6436781609195403,0.3943661971830986,3.5000000000000004,0.6222222222222222,1.9642857142857142,1.264367816091954,0.7746478873239437,6.875,1.2222222222222223,1.5535714285714284,0.7909090909090909,0.6126760563380282,5.4375,0.9666666666666667,2.535714285714285,1.2909090909090908,1.632183908045977,8.875,1.5777777777777777,0.2857142857142857,0.14545454545454545,0.1839080459770115,0.11267605633802817,0.17777777777777778,1.607142857142857,0.8181818181818181,1.0344827586206897,0.6338028169014085,5.625,0.15400000000000003,0.1218,0.12600000000000003,0.23925000000000002,0.24750000000000003,0.1988,0.3905,0.30884999999999996,0.056799999999999996,0.3195,0.022400000000000003,0.044000000000000004,0.0348,0.036000000000000004,0.19575,-0.27,-0.15499999999999997,-0.16999999999999998,0.11500000000000005,0.10000000000000003,0.42999999999999994,0.15999999999999992,0.27499999999999997,0.63,0.25999999999999995,-0.2,-0.47000000000000003,-0.355,-0.37,0.015000000000000013
0.98,0.44999999999999996,0.63,0.8300000000000001,1.01,1.11,1.4900000000000002,0.9600000000000001,0.8500000000000001,1.1400000000000001,0.33999999999999997,0.7200000000000001,0.19,0.37,0.48,0.4411764705882352,2.0,0.37037037037037035,7.5,0.9090909090909091,2.266666666666667,4.533333333333334,0.8395061728395061,17.0,2.0606060606060606,0.5,0.2205882352941176,0.18518518518518517,3.75,0.45454545454545453,2.7,1.1911764705882353,5.4,20.25,2.4545454545454546,0.13333333333333333,0.058823529411764705,0.26666666666666666,0.04938271604938271,0.12121212121212122,1.1,0.4852941176470588,2.2,0.4074074074074074,8.25,0.20400000000000001,0.045,0.099,0.10200000000000001,0.22440000000000002,0.243,0.5508000000000001,0.1215,0.032400000000000005,0.26730000000000004,0.012,0.027200000000000002,0.006,0.013200000000000002,0.0495,-0.38000000000000006,0.15,-0.030000000000000027,0.53,0.35000000000000003,0.51,0.13,0.66,0.77,0.48000000000000004,-0.26,-0.64,-0.10999999999999999,-0.29000000000000004,0.18000000000000002
0.59,0.81,0.5599999999999999,1.1,0.85,0.97,1.26,1.48,0.87,1.23,0.2,0.49,0.7100000000000001,0.45999999999999996,1.07,0.3409090909090909,0.22727272727272727,0.18292682926829268,2.9999999999999996,0.36585365853658536,2.9333333333333336,0.6666666666666666,0.5365853658536586,8.799999999999999,1.0731707317073171,4.4,1.5,0.8048780487804879,13.2,1.6097560975609757,5.466666666666667,1.8636363636363635,1.2424242424242422,16.4,2.0,0.33333333333333337,0.11363636363636365,0.07575757575757576,0.06097560975609757,0.12195121951219513,2.7333333333333334,0.9318181818181818,0.6212121212121211,0.5,8.2,0.066,0.099,0.06149999999999999,0.2904,0.18039999999999998,0.12299999999999998,0.36079999999999995,0.5412,0.041,0.33619999999999994,0.0075,0.022000000000000002,0.033,0.0205,0.2706,-0.29000000000000004,-0.51,-0.26,-0.22000000000000003,0.030000000000000027,0.6699999999999999,0.37999999999999995,0.15999999999999992,0.7699999999999999,0.41,-0.09999999999999999,-0.39,-0.61,-0.36,-0.25000000000000006
0.97,0.72,0.45999999999999996,1.19,0.9299999999999999,1.1800000000000002,1.65,1.4,0.9400000000000001,1.1400000000000001,0.26,0.73,0.48,0.22,0.6799999999999999,0.3472222222222222,0.5319148936170213,0.26881720430107525,25.0,1.1904761904761905,2.88,1.5319148936170213,0.7741935483870968,72.0,3.4285714285714284,1.88,0.6527777777777778,0.5053763440860215,46.99999999999999,2.238095238095238,3.72,1.2916666666666667,1.9787234042553195,93.0,4.428571428571429,0.04,0.01388888888888889,0.021276595744680854,0.01075268817204301,0.04761904761904762,0.84,0.2916666666666667,0.4468085106382979,0.2258064516129032,21.0,0.18,0.1175,0.0525,0.3384,0.1512,0.2325,0.6696,0.4371,0.009300000000000001,0.1953,0.0025,0.0072,0.0047,0.0021,0.0987,-0.47,-0.21999999999999997,0.04000000000000001,0.25,0.51,0.68,0.21000000000000008,0.4600000000000001,0.92,0.7200000000000001,-0.24,-0.71,-0.45999999999999996,-0.19999999999999998,-0.26
0.63,0.74,0.6799999999999999,0.85,0.79,1.0,1.1099999999999999,1.22,1.02,1.16,0.54,0.65,0.76,0.7,0.8999999999999999,0.7027027027027027,0.5416666666666667,0.35135135135135137,0.9285714285714285,0.6190476190476191,1.423076923076923,0.7708333333333334,0.5,1.3214285714285714,0.8809523809523809,1.846153846153846,1.2972972972972974,0.6486486486486487,1.714285714285714,1.1428571428571428,2.846153846153846,2.0,1.5416666666666667,2.642857142857143,1.7619047619047619,1.076923076923077,0.7567567567567568,0.5833333333333334,0.3783783783783784,0.6666666666666667,1.6153846153846152,1.135135135135135,0.875,0.5675675675675675,1.4999999999999998,0.09620000000000001,0.1248,0.1092,0.17759999999999998,0.15539999999999998,0.19240000000000002,0.2738,0.35519999999999996,0.20720000000000002,0.31079999999999997,0.0728,0.10360000000000001,0.13440000000000002,0.11760000000000001,0.20159999999999997,-0.10999999999999999,-0.21999999999999997,-0.15999999999999998,-0.10999999999999999,-0.04999999999999999,0.48,0.37,0.26,0.45999999999999996,0.32,0.020000000000000018,-0.08999999999999997,-0.19999999999999996,-0.13999999999999996,-0.06
0.45,0.77,0.48000000000000004,0.94,0.65,0.99,1.16,1.48,1.045,1.19,0.335,0.505,0.825,0.535,0.97,0.4516129032258065,0.22222222222222224,0.1647058823529412,0.717948717948718,0.411764705882353,2.214285714285714,0.49206349206349204,0.36470588235294116,1.5897435897435896,0.9117647058823529,4.5,2.032258064516129,0.7411764705882353,3.230769230769231,1.852941176470588,6.07142857142857,2.7419354838709675,1.349206349206349,4.358974358974359,2.4999999999999996,1.3928571428571428,0.6290322580645161,0.30952380952380953,0.22941176470588237,0.5735294117647058,2.4285714285714284,1.0967741935483872,0.5396825396825398,0.4,1.7435897435897436,0.0434,0.08820000000000001,0.04760000000000001,0.1953,0.10540000000000001,0.11900000000000001,0.2635,0.5355,0.16575,0.28900000000000003,0.027300000000000005,0.060450000000000004,0.12285,0.06630000000000001,0.21420000000000003,-0.16999999999999998,-0.49,-0.2,-0.32,-0.030000000000000027,0.71,0.54,0.21999999999999997,0.655,0.51,0.05499999999999999,-0.11499999999999999,-0.435,-0.14500000000000002,-0.29
0.47000000000000003,0.91,0.61,1.12,0.8200000000000001,0.85,1.06,1.5,0.86,1.2,0.27,0.48000000000000004,0.92,0.62,1.26,0.38235294117647056,0.16666666666666666,0.18055555555555558,0.9285714285714285,0.27083333333333337,2.6153846153846154,0.4358974358974359,0.47222222222222227,2.4285714285714284,0.7083333333333334,6.0,2.2941176470588234,1.0833333333333335,5.571428571428571,1.6250000000000002,5.538461538461538,2.117647058823529,0.923076923076923,5.142857142857142,1.5,1.076923076923077,0.411764705882353,0.1794871794871795,0.19444444444444448,0.2916666666666667,3.692307692307692,1.4117647058823528,0.6153846153846153,0.6666666666666666,3.428571428571428,0.0442,0.1014,0.0624,0.26520000000000005,0.1632,0.0936,0.24480000000000002,0.5616,0.1008,0.34559999999999996,0.0182,0.04760000000000001,0.10920000000000002,0.06720000000000001,0.3744,-0.21000000000000002,-0.65,-0.35,-0.44,-0.13999999999999996,0.59,0.37999999999999995,-0.06000000000000005,0.58,0.24,0.010000000000000009,-0.2,-0.64,-0.33999999999999997,-0.30000000000000004
0.44000000000000006,0.56,0.59,0.68,0.71,0.7100000000000001,0.8300000000000001,0.9500000000000001,0.91,0.98,0.52,0.64,0.76,0.79,0.8300000000000001,0.5714285714285714,0.39999999999999997,0.2909090909090909,0.4444444444444445,0.37209302325581395,1.7500000000000002,0.7000000000000001,0.5090909090909091,0.7777777777777779,0.6511627906976745,2.5,1.4285714285714286,0.7272727272727273,1.1111111111111112,0.930232558139535,3.4375,1.9642857142857142,1.375,1.527777777777778,1.2790697674418605,2.25,1.2857142857142856,0.8999999999999999,0.6545454545454544,0.8372093023255813,2.6875,1.5357142857142856,1.075,0.7818181818181817,1.1944444444444444,0.044800000000000006,0.064,0.0688,0.11200000000000002,0.12040000000000001,0.08800000000000001,0.15400000000000003,0.22000000000000003,0.198,0.23650000000000002,0.0576,0.1008,0.144,0.1548,0.17200000000000001,-0.12000000000000002,-0.24000000000000002,-0.27,-0.12,-0.14999999999999997,0.39,0.27,0.15000000000000002,0.19000000000000006,0.12000000000000005,0.19999999999999998,0.07999999999999996,-0.040000000000000036,-0.07,0.02999999999999997
