,r2_unlab
0,0.7019432571923476
1,0.6064829521704355
2,0.6848382701944671
3,0.8171359600404136
4,0.5402620149899591
5,0.6257399554275695
6,0.7318467825096195
7,0.8037031180621973
8,0.7126148666598399
9,0.5243620228762109
10,0.7859700425590727
11,0.8419464393951357
12,0.6190273945107301
13,0.7867693300287345
14,0.6800922927498215
15,0.7633361032438846
16,0.7627543943631986
17,0.6749332312108951
18,0.7206444963652953
19,0.6424743145799241
20,0.7323528630910834
21,0.6030310681424755
22,0.8044982971004587
23,0.5768139559099636
24,0.44526620530348904
25,0.7492701103975186
26,0.7380032418287351
27,0.7646911423838116
28,0.7794288380019311
29,0.7074837753657406
30,0.7058382331359336
31,0.7317541422423336
32,0.6693298059584167
33,0.798388453524856
34,0.7593377070557823
35,0.6486105685103846
36,0.7920420797765245
37,0.7124223102482884
38,0.866383496078899
39,0.7431727555547132
40,0.7973621162583914
41,0.7843309025858483
42,0.7364379534573752
43,0.6711002998598641
44,0.6880673718403341
45,0.6248472942666827
46,0.6682169145240234
47,0.729910891627163
48,0.6358411368920072
49,0.654604726591552
50,0.5963174855608253
51,0.7239580440807724
52,0.7928165752358887
53,0.6243498987563783
54,0.8195904072875276
55,0.6516322020827294
56,0.7360103054321292
57,0.79491042738187
58,0.7265400844253824
59,0.7895337465435752
60,0.6573078818472131
61,0.6342174321387879
62,0.7267127907003099
63,0.7667414533374962
64,0.7287814205695342
65,0.7374733653075074
66,0.6898241617287062
67,0.6771378595227671
68,0.7127013519594002
69,0.8408756250778722
70,0.6829553046252078
71,0.5726334803118429
72,0.7432406857550354
73,0.6386500847484327
74,0.5863914777046131
75,0.8352198784551572
76,0.8020045002828591
77,0.631962615547764
78,0.7530399389118331
79,0.8138958504242672
80,0.6481427059742999
81,0.4339401165612756
82,0.7151353387949242
83,0.7714845558192814
84,0.7961506214300793
85,0.6793659781983787
86,0.804992220616314
87,0.5555853823640562
88,0.7523346848850996
89,0.799577511437221
90,0.5623325135370382
91,0.8504800135966946
92,0.4615231243101142
93,0.7472529812266224
94,0.6537876482756135
95,0.7000022579769898
96,0.7820058992401426
97,0.6868256985314273
98,0.7627182492538584
99,0.7416770341510708
