,r2_unlab
0,0.6714714614145294
1,0.6172567581997669
2,0.7532587864953653
3,0.8492215755977252
4,0.504714649490174
5,0.6059258726749274
6,0.8162510120849994
7,0.6642100330234528
8,0.6862007900683481
9,0.5208761344162072
10,0.6829206211389196
11,0.8044851926173777
12,0.5304452978386262
13,0.7320901584796057
14,0.6011744477078671
15,0.6148175265161855
16,0.7837138007440299
17,0.6336175734879907
18,0.6729061509571639
19,0.5893887375170014
20,0.7201379899770515
21,0.5952556735099358
22,0.7108276903597874
23,0.6244035310545801
24,0.3511266727723734
25,0.6754828986353785
26,0.6233470154289942
27,0.6640261834124097
28,0.7443636086583957
29,0.6886147780359283
30,0.6795538575005999
31,0.7188046621997124
32,0.630895289748624
33,0.7248969802971643
34,0.7741126025051186
35,0.609814633898707
36,0.7772454891790098
37,0.6800886709986838
38,0.778403250805865
39,0.7627270661748358
40,0.7280774367986267
41,0.7409645882280695
42,0.8269087157219945
43,0.620483864738482
44,0.6623202090923186
45,0.5904550061816634
46,0.6128453721566212
47,0.7538530125322191
48,0.5441357016511803
49,0.7048109744277857
50,0.6989193438028345
51,0.6480178660273697
52,0.7519184239166088
53,0.5675328728186122
54,0.7797828768653642
55,0.536180001002536
56,0.7606885759228148
57,0.7489294521750458
58,0.6960008011940044
59,0.806911466937051
60,0.5590083144370728
61,0.6602879240531541
62,0.7052291099968726
63,0.6846749106693859
64,0.7349174105044757
65,0.6569168253658961
66,0.6038586025790653
67,0.7165753571745037
68,0.6749717195737261
69,0.7937603028571162
70,0.6367956338028677
71,0.3669082161272492
72,0.6881841042599085
73,0.5209506595566309
74,0.5082810777564034
75,0.8065321509446981
76,0.7575986133082895
77,0.6458934542045942
78,0.8085901648931216
79,0.7586422822583456
80,0.6866845845054221
81,0.32728403843895615
82,0.7549475360428628
83,0.7505062457572953
84,0.7206808192678787
85,0.637371881414738
86,0.8417344344708162
87,0.61077751166314
88,0.7114770714561228
89,0.7881140374936282
90,0.4504534469327346
91,0.8100323049348115
92,0.5596406066564494
93,0.7842185733231604
94,0.5656568845400984
95,0.7825364938711245
96,0.7814295225716127
97,0.7109551177366997
98,0.7455003014903892
99,0.752904075775871
