,r2_unlab
0,0.6163715589906682
1,0.38891977776508013
2,0.43531240774557256
3,0.701808082549697
4,0.47930996045640895
5,0.5415952585062109
6,0.511037906030563
7,0.6506148249183157
8,0.6014289769986225
9,0.5587752363009695
10,0.46303791249908755
11,0.5860316557435981
12,0.5952575041794157
13,0.6047477961043083
14,0.5579651820239344
15,0.432323941383163
16,0.6209656688557061
17,0.5062616376792473
18,0.6485434285071434
19,0.5530373293018953
20,0.5932858084470518
21,0.540017667975923
22,0.6583093730596099
23,0.5539573236457184
24,0.5696855332241195
25,0.6302511336019805
26,0.47729659605684516
27,0.6649183244654225
28,0.6213217366227433
29,0.5982559520775748
30,0.6401107910724886
31,0.611449775148383
32,0.41630884231399523
33,0.6593666524304891
34,0.46180418702056225
35,0.34815302873270326
36,0.38911865083367614
37,0.5507560675106558
38,0.6603477964964345
39,0.6196348567738161
40,0.41298256162996894
41,0.6519593382779789
42,0.6340892377933459
43,0.6182783198277962
44,0.6565783979707862
45,0.46580518340853405
46,0.47802561383384845
47,0.6159319016801938
48,0.4864359753268065
49,0.44121758132433475
50,0.622869210354863
51,0.6164111704715732
52,0.5543729954246865
53,0.4641576417511738
54,0.6444871600925697
55,0.5998570321052612
56,0.5498143727407193
57,0.6063740148319992
58,0.6801343548988578
59,0.5994696195678693
60,0.3721845198841627
61,0.490968119675285
62,0.6117760678751687
63,0.48072063517039765
64,0.548926980433321
65,0.4972873672746496
66,0.6863497563691275
67,0.5945805750936983
68,0.5606968887073567
69,0.6242467282816053
70,0.6081770971789646
71,0.4224510748236828
72,0.6547525361458719
73,0.6225446609040806
74,0.41119782957000706
75,0.6723812728575737
76,0.5911395939972826
77,0.6184669297938314
78,0.6790474099267882
79,0.6399261936387486
80,0.5353697801902221
81,0.4693010536633354
82,0.3903744775056891
83,0.6240645930939424
84,0.4751665250463115
85,0.5405467389499671
86,0.557754631378273
87,0.34296824958353234
88,0.6521001105200535
89,0.66773717050132
90,0.5213730752101956
91,0.5850077139102257
92,0.43582020473017324
93,0.6042024115625079
94,0.6031578309780055
95,0.7033473940382726
96,0.4383849678806181
97,0.5545147582162424
98,0.46409995127151726
99,0.5266978954203264
