,r2_unlab
0,0.6472144257360473
1,0.5364855807141851
2,0.5835287912453662
3,0.6598690904069001
4,0.5390445114716933
5,0.613056642746657
6,0.5605794290715687
7,0.6703717456667415
8,0.5452128901227256
9,0.6005122397957874
10,0.5000089462724973
11,0.6248243276438011
12,0.589526020373665
13,0.5914786229369922
14,0.6106844193808706
15,0.5697147573668595
16,0.601252253297353
17,0.5654857442835015
18,0.6980179540919258
19,0.5738579344253159
20,0.5875914653212334
21,0.5486054939114633
22,0.6104321262979072
23,0.5399905933381971
24,0.5565951253367554
25,0.6618804905679854
26,0.47641574021994326
27,0.6600008990207402
28,0.6592525447997475
29,0.601398392616163
30,0.6409172771936001
31,0.6718826241628775
32,0.6073339307400465
33,0.6201933181403223
34,0.5036105852477448
35,0.47485706563301044
36,0.5570807888970093
37,0.6151205105808922
38,0.6411222232018573
39,0.5820101549739793
40,0.6152310330802042
41,0.6704030159817542
42,0.6181550888971921
43,0.6446223477644564
44,0.6612810666085396
45,0.5109179488463156
46,0.5644823625391091
47,0.6393802927732817
48,0.44381466260345226
49,0.5688149318529412
50,0.6120072531750604
51,0.6388347658347734
52,0.6003927546737492
53,0.5816773252524449
54,0.6174024850415714
55,0.5969376573976009
56,0.6242572405880702
57,0.6365649939781624
58,0.7188239251324978
59,0.5474797829098869
60,0.3954297160453072
61,0.5987326669446824
62,0.6094460200797391
63,0.456100323952248
64,0.5566309858618995
65,0.48845484997133815
66,0.6493875988466804
67,0.6182804582121175
68,0.6048557959653529
69,0.6321450176778881
70,0.6056674881423196
71,0.4807929127234888
72,0.6507465327274822
73,0.6783488550150476
74,0.47028156804445
75,0.6719634862141375
76,0.6164620207057382
77,0.601247366626062
78,0.6446597030668879
79,0.6413431368721711
80,0.526584706479271
81,0.5752995156727027
82,0.45560301735799946
83,0.5890484669677527
84,0.5565734401180071
85,0.5595365093119515
86,0.5799413907933465
87,0.47156735538627614
88,0.5927800083310892
89,0.7288284615189509
90,0.5749295844996524
91,0.5145007727986489
92,0.5072712009286856
93,0.6145844632209707
94,0.6401954503706793
95,0.6536477491167019
96,0.4577720499283032
97,0.5797306925425735
98,0.5435671285657027
99,0.5532647483004205
