,r2_unlab
0,0.6553328067288093
1,0.6660497009704542
2,0.7934417400736345
3,0.7570608617003558
4,0.5056836671545072
5,0.6180002477844884
6,0.6989257347813114
7,0.6882954588086188
8,0.6625814158872962
9,0.5609386784679524
10,0.5165338894377245
11,0.8111161525055549
12,0.43899023836938134
13,0.6767839649673579
14,0.545226165035933
15,0.5899798165449692
16,0.5654412855056197
17,0.48095134884163926
18,0.6791183366582434
19,0.5533620798520311
20,0.6736494199017302
21,0.7293953315972751
22,0.7344636904347286
23,0.6418872975265586
24,0.3770378432417105
25,0.6485039162860753
26,0.6817569322379693
27,0.6306452125786476
28,0.7917620620624557
29,0.6486023287074036
30,0.6562794571148277
31,0.6845842425557742
32,0.7191113742936606
33,0.689450553043145
34,0.6997794067315041
35,0.642257692892253
36,0.6012906847430877
37,0.691950592306415
38,0.8210582487687813
39,0.7729746798688679
40,0.6147300425109774
41,0.6934822017397423
42,0.7370264738564467
43,0.5963498222903667
44,0.6927798205623936
45,0.6636561746360459
46,0.6058872423698933
47,0.690806192402788
48,0.5436982297760957
49,0.6290108800671428
50,0.7552272483430256
51,0.6357734443288223
52,0.6489514732004958
53,0.5440765680390808
54,0.70195522245194
55,0.6518690210694307
56,0.7119614104521497
57,0.5773165616079035
58,0.6873666952905109
59,0.8182323814351631
60,0.5508220534247206
61,0.6056266645567127
62,0.5660073460249258
63,0.7263722658212663
64,0.7091051968296949
65,0.6536998756473096
66,0.5892105165630583
67,0.686682339403049
68,0.5879679407988575
69,0.7933358287994139
70,0.60133394691365
71,0.4854687143004346
72,0.7088981606065694
73,0.5127258063527875
74,0.5869844210483179
75,0.7872991950542616
76,0.7831002718952196
77,0.6146999097843693
78,0.6509915228698038
79,0.7076115664830565
80,0.5053544710888764
81,0.3328327852492279
82,0.7306505135749124
83,0.7696745753625225
84,0.7155853552491789
85,0.6912874651760252
86,0.7760919010849068
87,0.6129076703632441
88,0.6184430055944306
89,0.7856196775295184
90,0.5115760036222777
91,0.7847090161133032
92,0.398457931171066
93,0.8035090269933265
94,0.6254557971025119
95,0.6885114520206144
96,0.7199897693328943
97,0.6673781705655504
98,0.7046750572782682
99,0.576601010206357
