Name,ID,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
1tBuCzTRZ,OPS21,-1.926950577,-0.236985473,-1.465119254,2.7568177,1.613732034,1.19482942,-1.347318247,-0.09781014,0.049462118,-1.288473064,-1.478408476,-0.686730897,-0.785807093,-5.624132171,-4.596064514,6.207092077,1.851182312,-0.665183936,-0.786847059,2.871238959,-5.168270058,1.425424109,-0.362006019,-1.085581183,1.718256052,0.796439235,1.768288534,-1.480370168,0.915241261,0,0,0,0,0,0,0,1,6
1DPATRZ,OPS22,-2.215469721,-0.834777391,0.284559427,-2.117317109,-2.152316787,-1.470963291,-0.559805808,0.406968684,-2.335433685,-0.076587262,-1.120467726,-0.341737082,-0.025201172,-2.946145475,-0.661396356,1.621050592,2.01334856,-2.186512989,0.763963665,0.9364454,-2.063062035,0.501751469,-3.701120131,-0.927139548,-0.945326325,-0.158382893,1.469428565,0.130186388,1.258157686,0,0,0,0,0,0,0,1,34
1tBuDPATRZ,OPS23,-2.27557506,-0.573679843,-0.299174485,-2.116217047,-1.962387323,-0.003305931,-0.575776328,-0.008709857,-2.695818758,-1.179319326,-2.462385023,-1.079415926,0.223191581,-3.599875093,-1.531410774,5.353654427,0.814422456,-0.704740126,-0.54597712,0.607286363,-3.680584614,1.051392704,-1.771253739,-0.042237043,1.153685766,-0.480326709,0.868365481,-0.078451793,0.631919452,0,0,0,0,0,0,0,1,39
1ClDPATRZ,OPS24,-2.468327094,-0.973535329,0.012011147,-1.655834032,-1.970100688,-1.652273973,-0.825482205,-0.000506753,-2.883545118,0.064170105,0.300677688,0.10047677,1.553198696,-3.097431322,-1.049212316,1.75128127,-0.238096611,-2.975733636,-1.023591562,0.806172237,-2.882437589,0.741150773,-4.447826072,-1.24873942,-1.594973586,-1.772344477,2.387175573,-0.301887005,0.929843084,0,0,0,0,0,0,0,1,11
1BrDPATRZ,OPS25,-1.735327315,-0.490895134,-0.224162542,-3.148565281,-2.10497412,-2.124376435,-0.340878533,0.740179889,-1.133644738,-0.596673754,-1.33065638,-0.66016936,0.476761672,-2.988755028,-0.369141613,1.552082327,0.668509044,-4.706023541,1.559200249,1.384671983,-1.256328086,0.104419439,-6.839837996,-0.644703559,2.968532758,3.425648089,1.360343589,0.493080889,-1.901822842,0,0,0,0,0,0,0,1,24
1OMeDPATRZ,OPS26,-2.234888751,-1.065124194,-0.271663963,-1.081356651,-1.284399053,-1.277727726,-0.761483567,0.585300618,-2.339808846,1.908781869,-1.493676984,-0.511473186,-1.290975927,-5.998626886,2.865370752,1.777889276,2.404579074,-3.094277111,-1.680948823,-2.013152711,-2.004662351,-2.739715097,-2.706559147,0.873268089,-1.801982677,0.757371928,2.786624078,0.118096697,-0.362563509,0,0,0,0,0,0,0,1,12
1PhDPATRZ,OPS27,-2.194698285,-0.847631246,0.349989454,-1.686992896,-2.238496058,-1.43698877,-0.485421443,0.38028493,-2.282967838,-0.014674975,-1.126372974,-0.326785319,-0.304931601,-3.258388229,-0.246337168,1.774367399,1.353937252,-2.035406144,1.026179835,1.326242461,-2.065928253,0.665906097,-3.78212295,-0.907942974,-0.951449983,0.148403668,1.484591521,0.08927803,1.189778584,0,0,0,0,0,0,0,1,26
1PTZTRZ,OPS28,-0.999163366,-1.742321166,1.470850021,6.573707954,-4.663109378,-2.867542512,-1.243763985,-0.063937423,-0.800501106,-0.757613938,-0.23035184,-0.680269998,-0.517490335,-2.0300408,-2.063176252,1.347108083,2.690544242,-5.661781988,-4.709292564,1.984021873,0.872719795,2.392797517,-3.203409894,-2.275412987,-0.625074391,-1.048002005,-0.657753571,-0.565032583,0.550441033,0,0,0,0,0,0,0,1,2
2CzBP,OPS29,-1.577917699,-0.508639637,-0.537069512,0.490486966,0.841155277,-0.565555557,-0.478502795,0.370611513,0.881599509,0.554460216,0.220717485,1.448433921,-1.831153984,-2.68259306,-7.440964899,-2.951302864,-1.309221125,-0.906067153,1.461583823,1.573418688,-0.212594076,-1.290800199,3.417286997,-0.055838662,-2.441538111,2.412944173,-1.571970243,-0.921074571,0.510508189,0,0,0,0,0,0,0,1,2
2DMABP,OPS30,-1.031697939,-0.435751427,0.960895074,-3.549227197,-1.664889298,0.325534703,2.873534205,-1.804764813,-1.021823243,1.36814353,-1.137219089,1.128961667,-0.995708136,-2.150500702,-3.448873332,-2.449530285,-5.659962957,-1.837708499,1.639756138,0.445437338,2.925937252,-1.200733134,3.324733717,0.718308964,-1.028183907,-0.034413903,-0.114649033,-0.772503308,-0.146009679,0,0,0,0,0,0,0,1,0
