,R2_score
0,0.5253167635842794
1,0.445834548600364
2,0.4667686492820744
3,0.660908417415197
4,0.4484306141916885
5,0.1768085644624604
6,0.40799959944620534
7,0.45422654284137776
8,0.42269284456277323
9,0.3487166282829144
10,0.48833464278172034
11,0.6165254751929524
12,0.5686271104450141
13,0.44744303287320464
14,0.4868227133642321
15,0.7613478653370164
16,0.4957389334701028
17,0.59807613400561
18,0.43047389417821313
19,0.6645572071498449
20,0.41902214282846306
21,0.5497627764946436
22,0.2816320506179648
23,0.41482481957782
24,0.5016269932104476
25,0.6545242738851976
26,0.6872180386877305
27,0.5200057509535697
28,0.6649472710189572
29,0.606929813316714
30,0.6507722244208158
31,0.3591719635362025
32,0.4648832991080696
33,0.6476853267027519
34,0.5409206111126923
35,0.2081392308755039
36,0.2765388228014206
37,0.6436005046024311
38,0.6835563558270534
39,0.498941575392469
40,0.7096107280056463
41,0.6769103028709893
42,0.5000256687645643
43,0.6680872302319893
44,0.4710759404745104
45,0.530261534263224
46,0.44445951532890227
47,0.4896580124555555
48,0.6369765623551671
49,0.4982346923218399
50,0.6633813754103197
51,0.5349591744668409
52,0.692918849094193
53,0.554267706984436
54,0.35794435776815625
55,0.7357373554344473
56,0.6333602414953143
57,0.45272548867176
58,0.685256129240523
59,0.5120213418580188
60,0.5561079296918465
61,0.13882440386406425
62,0.4603314905601503
63,0.6154817005573356
64,0.617064471889382
65,0.4314232426663044
66,0.5840646861804356
67,0.527541865203899
68,0.5220883036951358
69,0.6752005961059884
70,0.4923093805217611
71,0.4130251792994949
72,0.6680175521287565
73,0.344496258854988
74,0.6356426233446728
75,0.4096909416884784
76,0.5254930354734932
77,0.6156980359992485
78,0.40878824827886096
79,0.499474649344674
80,0.551219286102397
81,0.3592759416918313
82,0.5146774447964728
83,0.4522416093078706
84,0.6835231374843951
85,0.6334550837970957
86,0.5755862766942508
87,0.45669497525126046
88,0.4013073963978553
89,0.6288265184333794
90,0.452281416177981
91,0.6194938895756184
92,0.3141118523564945
93,0.6595470065799554
94,0.3166237706556456
95,0.6542937667733311
96,0.516375931176084
97,0.6601096381310914
98,0.6678968466961761
99,0.6357431508893377
