,SD1,SD2,SD3,R2_score
0,CO_d,CO_b,CS,0.4463365915987273
1,CO_d,CO_e,CO_a,0.5415790951344321
2,CS,CO_e,CO_d,0.6926426455260528
3,CO_d,CO_e,CS,0.7702821213509136
4,CO_c,CO_d,CS,0.270605857935615
5,CO_d,CO_a,CO_c,0.6508251887739898
6,CO_d,CO_b,CO_c,0.5980711271590943
7,CO_c,CO_d,CO_b,0.4878556105402774
8,CS,CO_b,CO_c,0.6036127763671852
9,CO_d,CO_b,CO_a,0.5245216090621558
10,CO_d,CO_a,CO_b,0.47250900552807695
11,CO_c,CO_d,CO_a,0.5324488904043887
12,CO_d,CO_c,CO_a,0.38170535595442356
13,CO_d,CS,CO_a,0.5439817211849935
14,CO_d,CO_a,CO_b,0.3069976818578556
15,CO_d,CO_b,CO_c,0.6739966850254945
16,CO_a,CO_d,CS,0.7405110078608845
17,CO_d,CO_c,CO_b,0.5626718614414947
18,CO_d,CO_b,CO_c,0.5793148674129391
19,CO_d,CO_b,CO_c,0.5924930833787752
20,CO_d,CO_c,CO_e,0.5616988172608365
21,CO_a,CO_d,CO_e,0.7163940672795227
22,CO_d,CS,CO_b,0.812544117474377
23,CO_d,CO_a,CO_c,0.2592856699963004
24,CO_d,CO_b,CO_a,0.480018615110667
25,CO_d,CO_a,CO_c,0.6957507816344466
26,CO_d,CO_b,CO_c,0.6292636114856591
27,CO_b,CS,CO_c,0.7622707456615947
28,CO_d,CO_e,CO_a,0.6213054946166288
29,CO_d,CO_a,CO_b,0.593268820335408
30,CO_d,CO_a,CO_b,0.6557306111784913
31,CO_d,CO_a,CO_b,0.4830446173859393
32,CO_d,CO_b,CS,0.49120327224920024
33,CO_d,CO_a,CO_c,0.5209209700525659
34,CO_d,CO_a,CO_e,0.6139276789650246
35,CO_d,CO_c,CO_a,0.5393289675255375
36,CO_d,CO_b,CS,0.78148332021087
37,CO_d,CO_e,CO_c,0.57697536918938
38,CO_d,CO_b,CO_a,0.5845764489005683
39,CO_d,CO_a,CO_c,0.58285901244216
40,CO_d,CO_a,CO_e,0.6918772525665569
41,CO_d,CO_a,CO_e,0.6144281961436697
42,CO_d,CS,CO_e,0.5838499009561721
43,CO_d,CO_a,CO_e,0.5765451327158474
44,CO_d,CO_c,CO_a,0.6350235089111573
45,CO_d,CO_a,CO_b,0.508463200624715
46,CO_a,CO_d,CO_b,0.5217846840443021
47,CO_d,CO_a,CS,0.6416174143282554
48,CO_a,CO_d,CS,0.4645885344351439
49,CO_d,CO_a,CO_b,0.601757621568205
50,CO_d,CO_b,CO_c,0.47596943129781766
51,CO_d,CO_c,CO_a,0.4754320099976376
52,CO_d,CO_c,CO_a,0.5826859162761131
53,CO_d,CO_a,CO_c,0.4683382284623182
54,CO_d,CO_a,CO_e,0.7309847766912507
55,CO_a,CO_d,CO_e,0.3951409169411646
56,CO_d,CO_a,CO_c,0.5030539506361857
57,CO_d,CO_c,CO_a,0.5708527322184109
58,CO_d,CS,CO_e,0.5513034264007868
59,CO_d,CO_c,CS,0.7320648946925891
60,CO_d,CO_a,CO_b,0.5680099506146741
61,CO_d,CS,CO_a,0.6167919458272362
62,CO_d,CO_a,CS,0.6927367218866411
63,CO_d,CS,CO_b,0.5711783269939399
64,CO_a,CO_d,CO_c,0.5468288969856014
65,CO_d,CO_b,CS,0.6704452433604593
66,CO_d,CO_a,CO_c,0.508589775124733
67,CO_a,CO_d,CO_c,0.5857140424235472
68,CS,CO_d,CO_b,0.5201594378984076
69,CO_d,CO_a,CO_e,0.6149134480896555
70,CO_d,CO_c,CO_a,0.47704243963622806
71,CO_d,CO_a,CO_c,0.4676846984801035
72,CO_e,CS,CO_d,0.549801812293748
73,CO_d,CO_a,CO_e,0.5547967391051047
74,CO_d,CO_b,CO_c,0.48438715587717773
75,CO_d,CO_a,CO_e,0.6370747944564136
76,CO_d,CO_b,CO_a,0.525070728557278
77,CO_d,CO_b,CO_c,0.48003582974767045
78,CO_d,CO_a,CS,0.7920869259366294
79,CS,CO_d,CO_a,0.6953706758253938
80,CO_d,CO_c,CO_b,0.44351667215713364
81,CO_d,CO_e,CO_b,0.26762229887499167
82,CO_d,CS,CO_b,0.6041965517596939
83,CO_d,CO_c,CS,0.6378821519903606
84,CO_d,CO_a,CO_e,0.6049315400964854
85,CO_d,CO_c,CO_a,0.17855418788802602
86,CO_d,CO_a,CO_c,0.715931023174526
87,CO_d,CO_b,CO_e,0.6075611389760356
88,CO_d,CS,CO_b,0.7032819339978208
89,CO_d,CO_a,CO_c,0.6395069466665727
90,CO_c,CO_b,CO_a,0.3958656202969092
91,CO_a,CO_d,CO_e,0.6705335868961682
92,CO_d,CO_e,CO_a,0.6137366305583056
93,CO_d,CO_b,CO_c,0.6082606122054368
94,CO_d,CO_c,CS,0.6780064104380665
95,CO_d,CO_c,CO_a,0.6365245824009449
96,CO_d,CS,CO_a,0.705041428849614
97,CO_d,CO_c,CO_a,0.5718826271148535
98,CO_d,CO_a,CO_e,0.5915772651692909
99,CO_d,CO_a,CO_b,0.5340090015179629
