,R2_score
0,0.5768385635755138
1,0.08817053622838567
2,0.6267126356562114
3,0.7075454767493454
4,0.6493317845717876
5,0.4345638295080697
6,0.5922109809123939
7,0.5238455138999669
8,0.5706727730905619
9,0.5476188319341874
10,0.5254999082471663
11,0.34302203492992567
12,0.45776425724167136
13,0.4221496491057596
14,0.4295711100029581
15,0.5241022191512446
16,0.6196707830456327
17,0.2926179583569396
18,0.20895164468602045
19,0.689865181091261
20,0.6405297988770899
21,0.6270733726074944
22,0.44621013957856515
23,0.4577388026655943
24,0.5669094934177359
25,0.5126221108605984
26,0.49021333732613437
27,0.16766764041899707
28,0.5191785011018979
29,0.21401733264771228
30,0.5317911732164261
31,0.6164396355274999
32,0.5431794626149198
33,0.5953562002731898
34,0.5422902484824146
35,0.07465442674320122
36,0.44111779053329625
37,0.4607682354884364
38,0.7417995567666074
39,0.36947306171405536
40,0.6047987270867384
41,0.586046098523963
42,0.40158953168296163
43,0.5887902392999959
44,0.6461893424048163
45,0.4963894667102272
46,0.54186141692934
47,0.6281711463267178
48,0.6869678958639474
49,0.5747143409430041
50,0.40618907972599194
51,0.23672652777365055
52,0.20846458536156698
53,0.5268764778196577
54,0.1869483573035039
55,0.6260169590631504
56,0.6422935949217912
57,0.6931541180748606
58,0.42807332426032785
59,0.6996796449707032
60,0.5936526722554238
61,0.38267413922607096
62,0.2908396922362102
63,0.34895927843455554
64,0.41475022211728885
65,0.32210795075728493
66,0.6061732640858531
67,0.39835808995196265
68,0.6259493475977339
69,0.6285950850963418
70,0.0847697465865187
71,0.32115331729121466
72,0.6169431094118726
73,0.6084844822338605
74,0.5498157568041744
75,0.32713631199711113
76,0.37666302394444595
77,0.1340163689774725
78,0.4199938482022946
79,0.3897828314536669
80,0.5229514785183657
81,0.41560170535627805
82,0.522490915029832
83,0.49293259792843436
84,0.5364855622314395
85,0.5633073385602433
86,0.2108056707166922
87,0.5590975308145314
88,0.4926980226940816
89,0.6581672927917461
90,0.4048469415979814
91,0.4736685404858848
92,0.6381082954651569
93,0.6387358035431394
94,0.5308441117796715
95,0.4485585741443675
96,0.5220442758531793
97,0.3944636388598327
98,0.6873174121073787
99,0.5828381088953577
