,R2_score
0,0.4980982770230269
1,0.5404692252410248
2,0.7090236527079867
3,0.629106991402939
4,0.7094971944298416
5,0.7120896322130172
6,0.6077735400065124
7,0.576152718844544
8,0.6731874681141083
9,0.616146249667973
10,0.6773324912231212
11,0.6543790658084859
12,0.6395811077272824
13,0.7583705024647063
14,0.5416152316413015
15,0.6808325560425257
16,0.6347669923202061
17,0.6789892752180506
18,0.6425116479652366
19,0.7608937197988945
20,0.6135839447846959
21,0.6098961185099815
22,0.5625645962052128
23,0.5993764522505654
24,0.6632131854128127
25,0.6551887992865186
26,0.7854128502217104
27,0.6377768490868554
28,0.5472339836177398
29,0.6162091175442987
30,0.7355638331192478
31,0.6527267296445588
32,0.6731123233723916
33,0.7213309703560951
34,0.5971909489594387
35,0.5710386971612441
36,0.6213078763018254
37,0.6580341914544098
38,0.6969890230431306
39,0.5956169955073753
40,0.8024382878739733
41,0.7093671696617944
42,0.6136116857170806
43,0.7809119326041407
44,0.6249609231382129
45,0.7262757086861797
46,0.6581740861101595
47,0.6602073849983807
48,0.7463941477177746
49,0.6415586860003564
50,0.642076120143857
51,0.7018086804030812
52,0.6752929685182236
53,0.6540100996407092
54,0.35479322788175605
55,0.7588147319216307
56,0.6189369785324059
57,0.7474920977977029
58,0.7405567244130983
59,0.675254837509093
60,0.6659195132122024
61,0.7810458213616764
62,0.5572587944725799
63,0.622206937322231
64,0.6547833929401723
65,0.6499943026946359
66,0.7220427759733146
67,0.6820454932836522
68,0.6871223294493469
69,0.7537286918948936
70,0.4941758197304289
71,0.6665369091166389
72,0.7237520750638589
73,0.6887492674241529
74,0.6186103845673807
75,0.5164725231005025
76,0.5785488870178699
77,0.6343197001110674
78,0.5670269561671268
79,0.5989482004303421
80,0.7448891092504102
81,0.6136286003193432
82,0.7039912935113429
83,0.6570203353198536
84,0.7245186096316928
85,0.6313673283196332
86,0.630537064302483
87,0.6647385903928842
88,0.5923844211673984
89,0.726379175884347
90,0.5723560161910775
91,0.623023923211363
92,0.661761639612027
93,0.7714732301133428
94,0.7256913883645787
95,0.6503211506991564
96,0.5386655420474558
97,0.6399279632430462
98,0.6851435957161397
99,0.5843417775719271
