Name,ID,Yield
4CzIPN,OPS1,74
4tBuCzIPN,OPS2,47
4MeCzIPN,OPS3,37
4BrCzIPN,OPS4,55
4OMeCzIPN,OPS5,0
4PhCzIPN,OPS6,22
4DPAIPN,OPS7,74
4tBuDPAIPN,OPS8,17
4MeDPAIPN,OPS9,29
4FDPAIPN,OPS10,71
4ClDPAIPN,OPS11,78
4BrDPAIPN,OPS12,74
3CzClIPN,OPS13,75
3tBuCzClIPN,OPS14,49
3OMeCzClIPN,OPS15,0
4CzPN,OPS16,58
4DPAPN,OPS17,6
4CzTPN,OPS18,13
4DPATPN,OPS19,2
1CzTRZ,OPS20,1
1tBuCzTRZ,OPS21,6
1DPATRZ,OPS22,34
1tBuDPATRZ,OPS23,39
1ClDPATRZ,OPS24,11
1BrDPATRZ,OPS25,24
1OMeDPATRZ,OPS26,12
1PhDPATRZ,OPS27,26
1PTZTRZ,OPS28,2
2CzBP,OPS29,2
2DMABP,OPS30,0
2DPABP,OPS31,47
2tBuDPABP,OPS32,51
2MeDPABP,OPS33,43
2ClDPABP,OPS34,47
2BrDPABP,OPS35,42
2PhDPABP,OPS36,58
2CzPN,OPS37,24
2tBuCzPN,OPS38,56
2ClCzPN,OPS39,29
1tBuDPAN,OPS40,0
PNZN,OPS41,3
biphenylPNZN,OPS42,62
PTZN,OPS43,1
biphenylPTZN,OPS44,76
CF3PTZN,OPS45,49
2DPAB,OPS46,0
2DPAN,OPS47,1
2tBuDPAN,OPS48,1
2MeDPAN,OPS49,1
2DPAA,OPS50,0
2tBuDPAA,OPS51,0
2MeDPAA,OPS52,0
2OMeDPAA,OPS53,0
3CzNB,OPS54,0
3DPANB,OPS55,2
3MeDPANB,OPS56,0
3BrDPANB,OPS57,8
2CzAQ,OPS58,0
2DPAAQ,OPS59,0
2DPASF,OPS60,0
2tBuDPASF,OPS61,1
2MeDPASF,OPS62,0
CF3PhDPZ,OPS63,15
OMePhDPZ,OPS64,1
NapDPZ,OPS65,10
3DPA2FBN,OPS66,65
5CzBN,OPS67,79
2DPABz,OPS68,0
DPABT,OPS69,1
PhPNZ,OPS70,0
PhPTZ,OPS71,0
ph_bPTZ,OPS72,7
9_10_DPA,OPS73,0
9_10_DAA,OPS74,0
perylene,OPS75,0
9_10_DCA,OPS76,0
3_5_diMePh_PDI,OPS77,0
Ph_NDI,OPS78,9
Me_TAPB,OPS79,0
Ph_TAPB,OPS80,0
C_152,OPS81,0
C_337,OPS82,0
C_498,OPS83,0
phenylfluorone,OPS84,0
resorufin,OPS85,0
9_fluorenone,OPS86,2
9_10_phenanthrenequinone,OPS87,0
BTPM,OPS88,0
2_Cl_TXO,OPS89,1
anthraquinone,OPS90,0
Me_bodipy,OPS91,0
Et_bodipy,OPS92,0
CN_bodipy,OPS93,0
TPP+,OPS94,1
Me_TPP+,OPS95,2
OMe_TPP+,OPS96,2
Acr+,OPS97,2
Acr+_Ph,OPS98,2
Acr+_Mes,OPS99,1
3_6_tBu_10_ph_Acr+_Mes,OPS100,2
