Name,ID,LUMO,E_S1,f_S1,E_T1,dEST,dDM,P(dDM) * P(E_S1),P(dDM) * P(dEST),P(dEST) + P(f_S1),P(E_T1) - P(f_S1),Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,-0.0888,3.262,0.185,3.033,0.229,4.7544,0.2574,0.066,0.54,0.26,0,0,0,0,0,0,0,1,74
4tBuCzIPN,OPS2,-0.08203,3.1887,0.1207,2.9803,0.2084,6.4563,0.2436,0.0588,0.39,0.27,0,0,0,0,0,0,0,1,47
4MeCzIPN,OPS3,-0.08286,3.1729,0.1881,2.9538,0.2191,5.2836,0.1988,0.0568,0.53,0.1,0,0,0,0,0,0,0,1,37
4BrCzIPN,OPS4,-0.11433,3.1927,0.1235,3.0271,0.1656,6.287,0.243,0.0324,0.37,0.35,0,0,0,0,0,0,0,1,55
4OMeCzIPN,OPS5,-0.07855,3.0441,0.1658,2.8555,0.1886,6.3647,0.123,0.041,0.46,0.03,0,0,0,0,0,0,0,1,0
4PhCzIPN,OPS6,-0.09205,3.1279,0.0199,3.0439,0.084,10.3465,0.2325,0.0093,0.22,0.51,0,0,0,0,0,0,0,1,22
4DPAIPN,OPS7,-0.07487,3.1324,0.1749,2.7578,0.3746,5.8383,0.1924,0.2072,0.7,-0.05,0,0,0,0,0,0,0,1,74
4tBuDPAIPN,OPS8,-0.07053,3.0323,0.1249,2.7092,0.3231,6.9916,0.119,0.16575,0.535,-0.03,0,0,0,0,0,0,0,1,17
4MeDPAIPN,OPS9,-0.06622,3.0266,0.2025,2.7414,0.2852,5.4777,0.0936,0.1008,0.62,-0.14,0,0,0,0,0,0,0,1,29
4FDPAIPN,OPS10,-0.08545,3.0458,0.1753,2.6241,0.4217,2.7916,0.088,0.198,0.79,-0.15,0,0,0,0,0,0,0,1,71
4ClDPAIPN,OPS11,-0.09706,3.0915,0.2171,2.8025,0.289,4.8527,0.1428,0.1088,0.65,-0.1,0,0,0,0,0,0,0,1,78
4BrDPAIPN,OPS12,-0.09943,3.0949,0.1964,2.7429,0.352,5.9765,0.1672,0.1748,0.7,-0.12,0,0,0,0,0,0,0,1,74
3CzClIPN,OPS13,-0.09727,3.197,0.1616,3.0508,0.1462,1.698,0.1376,0.0129,0.43,0.34,0,0,0,0,0,0,0,1,75
3tBuCzClIPN,OPS14,-0.09025,3.2311,0.1443,2.9647,0.2664,5.5488,0.2482,0.0876,0.5,0.19,0,0,0,0,0,0,0,1,49
3OMeCzClIPN,OPS15,-0.08693,3.0702,0.15,2.816,0.2542,6.1678,0.136,0.088,0.5,0.01,0,0,0,0,0,0,0,1,0
4CzPN,OPS16,-0.09408,3.3208,0.0603,2.9977,0.3231,8.1375,0.3872,0.1716,0.445,0.37,0,0,0,0,0,0,0,1,58
4DPAPN,OPS17,-0.07659,3.1116,0.0363,2.7239,0.3877,7.1007,0.2064,0.2752,0.56,0.08,0,0,0,0,0,0,0,1,6
4CzTPN,OPS18,-0.0993,3.083,0.2632,2.86,0.223,0.0023,0.03,0.0135,0.64,-0.1,0,0,0,0,0,0,0,1,13
4DPATPN,OPS19,-0.07998,2.8199,0.2384,2.4316,0.3883,1.1653,0.0155,0.1023,0.85,-0.3,0,0,0,0,0,0,0,1,2
1CzTRZ,OPS20,-0.07101,3.8438,0.8106,3.3406,0.5032,10.618,0.893,0.4085,1.17,0.24,0,0,0,0,0,0,0,1,1
1tBuCzTRZ,OPS21,-0.06941,3.7237,0.8453,3.262,0.4617,12.6968,0.86,0.4,1.15,0.16,0,0,0,0,0,0,0,1,6
1DPATRZ,OPS22,-0.06162,3.5635,1.1287,2.9505,0.613,10.481,0.658,0.611,1.52,-0.33,0,0,0,0,0,0,0,1,34
1tBuDPATRZ,OPS23,-0.05984,3.4961,1.167,2.896,0.6001,11.4943,0.5978,0.6174,1.51,-0.4,0,0,0,0,0,0,0,1,39
1ClDPATRZ,OPS24,-0.06844,3.6168,1.114,3.022,0.5948,10.0814,0.69,0.5704,1.46,-0.18,0,0,0,0,0,0,0,1,11
1BrDPATRZ,OPS25,-0.06856,3.6164,1.1245,3.0295,0.5869,9.9429,0.6734,0.546,1.46,-0.17,0,0,0,0,0,0,0,1,24
1OMeDPATRZ,OPS26,-0.05799,3.4627,1.1816,2.8529,0.6098,11.8605,0.5643,0.6336,1.55,-0.48,0,0,0,0,0,0,0,1,12
1PhDPATRZ,OPS27,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9955,0.5432,0.4753,1.44,-0.44,0,0,0,0,0,0,0,1,26
