r2_train,r2_test
0.5885023341662892,0.2318107819084061
0.5929356357172548,0.4872961035789709
0.5853160550607447,0.47394778550568795
0.5794647979022578,0.47435511042973955
0.5896322722769861,0.32480101796121874
0.5965921930418568,0.5324147225542508
0.6001117304941146,0.3215058187851053
0.5962400367395155,0.4382003401488629
0.5936212757550967,0.4955350955506981
0.5987025246063062,0.349368473283038
0.595429756859267,0.3922911739698234
0.5976207126527853,0.42550458251573275
0.5967595911481657,0.3159723552113458
0.5959014004115784,0.48245445838019374
0.6018935749085135,-0.05277454903654322
0.5928837507599942,0.463429805274154
0.5769783544041835,0.5131265478042125
0.5816193908423162,0.4165194585828591
0.5997812125351235,0.33554864579434873
0.6015647687074508,0.35142172297118424
0.5826736402454179,0.4134805037298578
0.5976687262872517,0.4432667567656313
0.5861363700338797,0.5829277597050568
0.5894331694803522,0.03551335143273393
0.5830177769705236,0.320333572566608
0.5931938829719404,0.4794892608824165
0.5851246162855139,0.4412989998973008
0.5805146965610113,0.45651273677350523
0.5936452124546172,0.48314578795476926
0.5795785103478781,0.3222278410647409
0.5781442669551466,0.4484282488193536
0.5835254168769938,0.4314229960473832
0.6001090927347588,0.27831927060602346
0.5917389914863702,0.5092785229320052
0.5814972213652229,0.44697728938366155
0.6026550865038605,0.3832861078247377
0.5909281970061867,0.5048128250780783
0.5782792700094983,0.4654047089835742
0.5922250672545082,0.49791434051797945
0.5813772663803249,0.43754429459282107
0.5932867337678579,0.5724249476902639
0.5820513568692265,0.5136594531820836
0.57899526038378,0.49286491266591703
0.5822512614217015,0.5272347613971899
0.5772317128081493,0.4618576503768328
0.6003094996544223,0.36078001552535
0.5817830490744382,0.491517457833861
0.5854732356159297,0.2921511018505719
0.583736715156203,0.4115886239150687
0.594871470249597,0.47375325905643006
0.5932626258474428,0.37647363871905404
0.5791656841023729,0.5095806465930541
0.5809560675719021,0.40098549017272256
0.5970929399478792,0.40618454087917544
0.5759933498531888,0.5411018841324924
0.5814236788999785,0.4475312352439579
0.5922878292702383,0.27977196727476805
0.5930007353137503,0.48475710155348317
0.5966888503629217,0.43447306371513106
0.5802007867873014,0.44362519254328747
0.5953703884568715,0.39798126879492957
0.5781175159173788,0.5648989337840475
0.5927769458609615,0.40049259256202896
0.5979672300714661,0.31131944820550705
0.5936796657981197,0.3811495425261886
0.5795836251161557,0.47912035864086966
0.5989616797981882,0.44949664927078625
0.5934398487749184,0.525743630895895
0.5789432909209198,0.4493359451482367
0.5784551298380096,0.533415651032138
0.5833117078071328,0.3505297624126158
0.5817693977746321,0.33462198036590984
0.5892625283032118,0.34701182520378415
0.5948039242859844,0.4234431008727986
0.5990600233340593,0.3850126165271033
0.5810665887788669,0.5175478564979951
0.5967472250536537,0.39919679976131417
0.5830713667794262,0.28956530088324506
0.5827239809664806,0.43464048661867616
0.5821059906900986,0.44090058951130073
0.5916465072453903,0.5729777339127515
0.6006931420914575,0.20869407316496402
0.5944806364485444,0.5367475751059247
0.5746085377653853,0.5464532512013311
0.5892170341860803,0.5646898157696443
0.6012083562058366,0.1587906875566204
0.5903877650982665,0.5620133216188237
0.5799641833546689,0.45977399104801175
0.5792621554782369,0.49847771436954547
0.5887336511715566,0.5459431267162296
0.5995439762300718,0.2695901179939104
0.5811666718221971,0.4949107749819568
0.5957609008868132,0.5133657932697664
0.5810011532824779,0.46605222642604893
0.5807937473267303,0.47864806094580814
0.591628602125129,0.4939354715686818
0.5960245184076521,0.404168216845856
0.5779399417949798,0.5737666029833064
0.5960475226094554,0.4435576112939368
0.5783890789476559,0.5019285066191861
