Name,ID,SMILES,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,Yield_CA,Yield_CO_a,Yield_CO_b,Yield_CO_c,Yield_CO_d,Yield_CO_e,Yield_CS,Yield_CN,Yield_ISO
4ClDPAIPN,OPS11,ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C(C#N)=C(N(C3=CC=C(Cl)C=C3)C4=CC=C(Cl)C=C4)C(N(C5=CC=C(Cl)C=C5)C6=CC=C(Cl)C=C6)=C7N(C8=CC=C(Cl)C=C8)C9=CC=C(Cl)C=C9)=C7C#N,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,4.7062,78,91,91,69,47,66,99,98,96
4BrDPAIPN,OPS12,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C(C#N)=C(N(C3=CC=C(Br)C=C3)C4=CC=C(Br)C=C4)C(N(C5=CC=C(Br)C=C5)C6=CC=C(Br)C=C6)=C7N(C8=CC=C(Br)C=C8)C9=CC=C(Br)C=C9)=C7C#N,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0311,74,92,92,72,24,58,99,97,95
3CzClIPN,OPS13,ClC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(C#N)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(C#N)=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,1.5389,75,31,92,60,33,34,63,50,
3tBuCzClIPN,OPS14,ClC1=C(N2C(C=CC(C(C)(C)C)=C3)=C3C4=C2C=CC(C(C)(C)C)=C4)C(C#N)=C(N5C(C=CC(C(C)(C)C)=C6)=C6C7=C5C=CC(C(C)(C)C)=C7)C(C#N)=C1N8C(C=CC(C(C)(C)C)=C9)=C9C%10=C8C=CC(C(C)(C)C)=C%10,-0.20437,-0.09025,3.2311,0.1443,2.9647,0.2664,5.4178,49,70,89,67,51,55,56,76,
3OMeCzClIPN,OPS15,ClC1=C(N2C(C=CC(OC)=C3)=C3C4=C2C=CC(OC)=C4)C(C#N)=C(N5C(C=CC(OC)=C6)=C6C7=C5C=CC(OC)=C7)C(C#N)=C1N8C(C=CC(OC)=C9)=C9C%10=C8C=CC(OC)=C%10,-0.19139,-0.08693,3.0702,0.15,2.816,0.2542,6.0345,0,5,85,61,37,27,0,35,
4CzPN,OPS16,N#CC1=C(C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)C#N,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,7.9573,58,51,89,62,46,33,54,63,
4DPAPN,OPS17,N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9)=C5C#N,-0.19091,-0.07659,3.1116,0.0363,2.7239,0.3877,6.8817,6,91,91,81,57,40,4,49,
4CzTPN,OPS18,N#CC(C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)=C4N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C4C#N,-0.20627,-0.0993,3.083,0.2632,2.86,0.223,0.0023,13,0,75,45,37,42,9,10,
4DPATPN,OPS19,N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(C#N)=C3N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)=C3N(C8=CC=CC=C8)C9=CC=CC=C9,-0.18716,-0.07998,2.8199,0.2384,2.4316,0.3883,1.2336,2,93,93,53,51,60,13,98,
1CzTRZ,OPS20,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=N1,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,10.6241,1,16,79,40,29,33,0,7,1
1tBuCzTRZ,OPS21,CC(C1=CC(C2=C3C=CC(C(C)(C)C)=C2)=C(C=C1)N3C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)(C)C,-0.19256,-0.06941,3.7237,0.8453,3.262,0.4617,12.5316,6,53,86,47,41,38,95,92,
1DPATRZ,OPS22,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=N1,-0.18787,-0.06162,3.5635,1.1287,2.9505,0.613,10.4896,34,21,80,31,30,34,94,99,
1tBuDPATRZ,OPS23,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)(C)C,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.353,39,16,73,28,20,30,97,82,56
1ClDPATRZ,OPS24,ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.19729,-0.06844,3.6168,1.114,3.022,0.5948,9.9926,11,46,80,40,31,35,98,99,16
1BrDPATRZ,OPS25,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,9.9662,24,42,85,40,13,32,97,97,31
1OMeDPATRZ,OPS26,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.8434,12,2,59,29,21,30,32,4,
1PhDPATRZ,OPS27,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N(C5=CC=C(C6=CC=CC=C6)C=C5)C7=CC=C(C8=CC=CC=C8)C=C7)C=C4)=N1,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9857,26,38,79,45,26,34,97,85,41
1PTZTRZ,OPS28,N(C1=C2C=CC=C1)(C3=CC=CC=C3S2)C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5,-0.18237,-0.07461,3.552,0.0001,3.4653,0.0867,7.9638,2,39,87,59,37,37,11,16,
2CzBP,OPS29,O=C(C1=CC=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C=C1)C5=CC=C(N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C5,-0.20318,-0.07263,3.7099,0.0185,3.2,0.5099,0.3507,2,0,3,15,14,23,0,2,
2DMABP,OPS30,O=C(C1=CC=C(C=C1)N(C)C)C2=CC=C(C=C2)N(C)C,-0.18839,-0.03296,3.8921,0.0113,3.2177,0.6744,1.0068,0,0,7,18,13,24,0,2,
2DPABP,OPS31,O=C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,1.9736,47,1,39,14,9,27,9,99,59
2tBuDPABP,OPS32,O=C(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4,-0.18033,-0.04947,3.5525,1.2289,3.0124,0.5401,2.2877,51,2,36,19,14,30,81,99,71
2MeDPABP,OPS33,O=C(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4,-0.18065,-0.04943,3.5628,1.2249,3.0017,0.5611,2.5537,43,0,29,12,18,25,54,97,
2ClDPABP,OPS34,ClC(C=C1)=CC=C1N(C2=CC=C(C=C2)Cl)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Cl)C6=CC=C(C=C6)Cl)C=C4)=O,-0.19983,-0.06696,3.6407,1.1958,3.0588,0.5819,2.02,47,1,34,13,13,22,5,99,49
2BrDPABP,OPS35,BrC(C=C1)=CC=C1N(C2=CC=C(C=C2)Br)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C=C4)=O,-0.19934,-0.06713,3.6355,1.2161,3.061,0.5745,2.0281,42,1,40,19,5,19,5,99,
2PhDPABP,OPS36,O=C(C1=CC=C(N(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC=C(C5=CC=CC=C5)C=C4)C=C1)C6=CC=C(N(C7=CC=C(C8=CC=CC=C8)C=C7)C9=CC=C(C%10=CC=CC=C%10)C=C9)C=C6,-0.18364,-0.05648,3.4923,1.3807,3.0058,0.4865,2.2316,58,3,57,24,14,29,96,99,77
2CzPN,OPS37,N#CC(C=C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=C7)=C7C#N,-0.21407,-0.09152,3.5246,0.1345,3.1201,0.4045,8.6565,24,23,92,58,6,40,4,55,
2tBuCzPN,OPS38,N#CC(C=C(N1C(C=CC(C(C)(C)C)=C2)=C2C3=C1C=CC(C(C)(C)C)=C3)C(N4C(C=CC(C(C)(C)C)=C5)=C5C6=C4C=CC(C(C)(C)C)=C6)=C7)=C7C#N,-0.20513,-0.08754,3.3855,0.1164,3.0249,0.3606,10.0687,56,82,92,70,59,37,10,99,
2ClCzPN,OPS39,ClC(C=C1)=CC2=C1N(C3=C2C=C(Cl)C=C3)C(C(N4C(C=CC(Cl)=C5)=C5C6=C4C=CC(Cl)=C6)=C7)=CC(C#N)=C7C#N,-0.22798,-0.10735,3.5473,0.1024,3.1826,0.3647,9.166,29,7,84,52,35,30,3,23,
1tBuDPAN,OPS40,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=CC=C3)(C)C,-0.17692,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7057,0,0,31,6,8,9,0,1,
PNZN,OPS41,C1(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,-0.17142,-0.04905,3.5257,0,3.3342,0.1915,0.2832,3,5,62,11,1,9,10,2,4
biphenylPNZN,OPS42,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5OC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,-0.17067,-0.05197,3.4578,0.0005,2.9913,0.4665,2.2556,62,3,51,38,3,18,7,43,
PTZN,OPS43,C1(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,-0.17982,-0.04987,3.76,0.0003,3.3275,0.4325,0.2077,1,3,61,10,11,18,2,1,1
biphenylPTZN,OPS44,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5SC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,-0.17757,-0.05224,3.6231,0.4335,3.118,0.5051,1.396,76,10,69,42,13,14,90,50,92
CF3PTZN,OPS45,FC(C(C=C1)=CC=C1C2=CC(SC3=C4C=CC(C5=CC=C(C=C5)C(F)(F)F)=C3)=C(C=C2)N4C6=C(C=CC=C7)C7=CC=C6)(F)F,-0.18961,-0.0591,3.6146,0.3629,3.1037,0.5109,1.5781,49,11,68,15,11,21,95,19,
2DPAB,OPS46,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,-0.16958,-0.01609,3.8658,0.0227,3.291,0.5748,0,0,0,34,7,9,15,0,1,
2DPAN,OPS47,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C=CC=C4)C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C1,-0.17654,-0.04474,3.4914,0.4022,2.8244,0.667,1.4109,1,0,38,18,6,24,4,2,
2tBuDPAN,OPS48,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C3)(C)C,-0.17028,-0.04135,3.4103,0.4193,2.784,0.6263,1.6044,1,2,35,25,5,22,53,9,
2MeDPAN,OPS49,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C3,-0.16909,-0.04084,3.3744,0.4004,2.7522,0.6222,1.6494,1,0,24,15,6,12,0,7,
2DPAA,OPS50,C1(C=CC=C2)=C2C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C=CC=C5)C5=C1N(C6=CC=CC=C6)C7=CC=CC=C7,-0.17836,-0.06945,2.9725,0.2857,2.1241,0.8484,0,0,4,75,57,36,43,2,2,
2tBuDPAA,OPS51,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C7=C3C=CC=C7)(C)C,-0.17252,-0.0666,2.8792,0.2813,2.1027,0.7765,0.0088,0,0,57,33,18,28,2,1,
2MeDPAA,OPS52,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=C3C=CC=C7,-0.17204,-0.06625,2.8733,0.2734,2.1007,0.7726,0.0023,0,1,57,48,30,34,2,2,
2OMeDPAA,OPS53,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=C3C=CC=C7,-0.16348,-0.0643,2.7205,0.254,2.0389,0.6816,0,0,0,9,8,7,1,0,2,
3CzNB,OPS54,O=[N+](C1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)[O-],-0.20716,-0.08754,3.4177,0.0669,3.0551,0.3626,1.3584,0,0,0,4,6,0,0,0,
3DPANB,OPS55,O=[N+](C(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)[O-],-0.18594,-0.06772,3.1973,0.0899,2.9176,0.2797,4.0204,2,0,15,1,8,0,0,16,
3MeDPANB,OPS56,CC(C=C1)=CC=C1N(C2=CC=C(C)C=C2)C3=C(C(N(C4=CC=C(C)C=C4)C5=CC=C(C)C=C5)=CC(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)=C3)[N+]([O-])=O,-0.17746,-0.05853,3.1371,0.1188,2.832,0.3051,4.5939,0,0,0,12,8,0,0,8,
3BrDPANB,OPS57,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C3=C(C(N(C4=CC=C(Br)C=C4)C5=CC=C(Br)C=C5)=CC(N(C6=CC=C(Br)C=C6)C7=CC=C(Br)C=C7)=C3)[N+]([O-])=O,-0.20296,-0.08203,3.2471,0.1278,2.8964,0.3507,4.5406,8,0,52,12,9,9,0,5,
2CzAQ,OPS58,O=C1C2=C(C=CC(N3C(C=CC=C4)=C4C5=C3C=CC=C5)=C2)C(C6=CC(N7C(C=CC=C8)=C8C9=C7C=CC=C9)=CC=C61)=O,-0.20593,-0.1085,3.1012,0,2.7358,0.3654,0,0,0,0,3,12,0,0,0,
2DPAAQ,OPS59,O=C1C2=C(C=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C2)C(C5=CC(N(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C51)=O,-0.19071,-0.08747,2.9778,0,2.4274,0.5504,0,0,0,0,0,0,0,0,0,0
2DPASF,OPS60,O=S(C(C=C1)=CC=C1N(C2=CC=CC=C2)C3=CC=CC=C3)(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=O,-0.19054,-0.04376,3.8676,0.907,3.2936,0.574,2.9746,0,0,1,3,3,0,0,2,
2tBuDPASF,OPS61,O=S(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)(C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4)=O,-0.18418,-0.03958,3.8148,0.9369,3.2521,0.5627,3.2162,1,0,28,3,10,21,0,2,
2MeDPASF,OPS62,O=S(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)(C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4)=O,-0.18439,-0.03949,3.8224,0.9468,3.2533,0.5691,3.1821,0,0,22,4,7,13,0,4,
CF3PhDPZ,OPS63,FC(C(C=C1)=CC=C1N2C3=CC=CC=C3N(C4=CC=C(C=C4)C(F)(F)F)C5=C2C=CC=C5)(F)F,-0.1619,-0.04155,3.3175,0,2.9345,0.383,0,15,0,14,1,9,3,2,9,18
OMePhDPZ,OPS64,COC(C=C1)=CC=C1N2C3=C(C=CC=C3)N(C4=CC=C(C=C4)OC)C5=CC=CC=C52,-0.14485,-0.01104,3.4138,0,2.897,0.5168,0,1,0,0,0,0,0,0,4,1
NapDPZ,OPS65,C12=CC=CC=C1N(C3=CC=C(C=CC=C4)C4=C3)C5=C(C=CC=C5)N2C6=CC=C(C=CC=C7)C7=C6,-0.15201,-0.04408,3.3012,0,2.9882,0.313,0.0824,10,0,3,2,8,0,0,8,21
3DPA2FBN,OPS66,FC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(F)C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5C#N)=C5N(C6=CC=CC=C6)C7=CC=CC=C7,-0.18763,-0.0591,3.3289,0.2519,2.9793,0.3496,3.1025,65,36,52,83,24,46,5,87,
5CzBN,OPS67,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C1N%14C(C=CC=C%15)=C%15C%16=C%14C=CC=C%16,-0.20063,-0.07542,3.5356,0.2762,3.2477,0.2879,4.9407,79,42,87,76,53,54,17,99,84
2DPABz,OPS68,O=C(C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,-0.19069,-0.06958,3.0227,0.0037,2.5871,0.4356,0.3529,0,0,12,34,10,24,0,0,
DPABT,OPS69,C1(C2=NC3=C(C=CC=C3)S2)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,-0.18556,-0.05394,3.5717,1.3009,2.8871,0.6846,6.0432,1,0,48,21,9,21,0,4,
PhPNZ,OPS70,C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)O2,-0.16899,-0.01766,3.9776,0.035,3.3033,0.6743,0.7966,0,0,0,6,2,10,0,4,
PhPTZ,OPS71,C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)S2,-0.16887,-0.02148,3.713,0.0109,3.1473,0.5657,0.2434,0,0,44,8,16,22,0,1,
ph_bPTZ,OPS72,C1(C=CC=C2)=C2C=C(SC(C=CC=C3)=C3N4C5=CC=CC=C5)C4=C1,-0.17426,-0.03323,3.7625,0.223,3.1359,0.6266,4.6819,7,12,70,21,10,40,59,3,
9_10_DPA,OPS73,C12=CC=CC=C1C(C3=CC=CC=C3)=C4C(C=CC=C4)=C2C5=CC=CC=C5,-0.1872,-0.05837,3.639,0.3496,2.3196,1.3194,0,0,0,0,1,1,7,0,2,
9_10_DAA,OPS74,COC(C=C1)=CC=C1C2=C3C(C=CC=C3)=C(C4=CC=C(C=C4)OC)C5=CC=CC=C52,-0.18384,-0.05504,3.6356,0.3763,2.318,1.3176,0,0,0,4,3,5,12,0,2,
perylene,OPS75,C1(C2=C3C4=CC=CC3=CC=C2)=C(C4=CC=C5)C5=CC=C1,-0.18188,-0.06947,3.196,0.791,2.0783,1.1177,0,0,0,0,39,24,19,94,56,
9_10_DCA,OPS76,N#CC1=C2C(C=CC=C2)=C(C3=CC=CC=C31)C#N,-0.22657,-0.1128,3.2747,0.3366,2.003,1.2717,0,0,0,5,23,11,2,0,0,
3_5_diMePh_PDI,OPS77,O=C(N(C1=CC(C)=CC(C)=C1)C2=O)C3=CC=C4C5=C(C6=C7C4=CC=C8C7=C(C(N(C9=CC(C)=CC(C)=C9)C8=O)=O)C=C6)C=CC2=C53,-0.21763,-0.12449,2.7184,1.4659,1.7085,1.0099,0,0,0,0,0,0,0,0,0,
Ph_NDI,OPS78,O=C(N(C1=CC=CC=C1)C2=O)C3=C(C2=CC=C4C(N(C5=CC=CC=C5)C6=O)=O)C4=C6C=C3,-0.25262,-0.1237,3.8271,0.7675,2.544,1.2831,0,9,0,0,0,0,0,0,0,
Me_TAPB,OPS79,CN(C1=CC=C(C2=CC(C3=CC=C(C=C3)N(C)C)=CC(C4=CC=C(C=C4)N(C)C)=C2)C=C1)C,-0.17326,-0.00888,4.3833,0.0682,3.4449,0.9384,0.1341,0,0,15,12,5,5,0,2,
Ph_TAPB,OPS80,C1(C2=CC(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)=CC(C6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)=C2)=CC=C(C=C1)N(C9=CC=CC=C9)C%10=CC=CC=C%10,-0.17898,-0.03176,3.9438,1.3806,3.285,0.6588,0.3321,0,0,36,6,35,17,0,2,
