,R2_score
0,0.48034629898541026
1,0.44942300159267556
2,0.4861840935497561
3,0.5608852805866709
4,0.4884635163191644
5,0.4008403250101472
6,0.3941607180722746
7,0.3500522168561795
8,0.5201716919873876
9,0.45255512256758257
10,0.3359354506569998
11,0.3773524938250803
12,0.46951477054388224
13,0.4201918329175325
14,0.38850374054003367
15,0.5384914785210182
16,0.5193889945701131
17,0.4527624091100546
18,0.308143198831074
19,0.41819680232669165
20,0.2029066995608656
21,0.29337688986556076
22,0.4751949258506788
23,0.45320940237229534
24,0.3536066643583953
25,0.5738922606708521
26,0.4009829552487375
27,0.4398783443462647
28,0.4550321878744885
29,0.27864789051733385
30,0.5351679050064189
31,0.26483118018519614
32,0.35361334979435
33,0.5819622811911551
34,0.47296244185751324
35,0.32339319364022134
36,0.5057608914184535
37,0.2587530240369702
38,0.4160096317653619
39,0.42588307068584574
40,0.6169496229002727
41,0.45190534466524857
42,0.40580960322784365
43,0.46241875259024856
44,0.29786701174078245
45,0.3967009293310261
46,0.47096878639698836
47,0.3084794900620267
48,0.5208777885011018
49,0.3590339827972343
50,0.45454116183593873
51,0.331058545197517
52,-0.040140009502835694
53,0.41594214989299716
54,0.5186797584207125
55,0.524356715925457
56,0.542264313909886
57,0.42213763662179615
58,0.49855838425677346
59,0.47893969802903247
60,0.5115486547151447
61,0.4178599186413886
62,0.4814677852031879
63,0.4554601921645062
64,0.5067753788079115
65,0.42865698624837023
66,0.5083201077941464
67,0.28196707151484557
68,0.1595433806287705
69,0.43346788840468853
70,0.16007275281017297
71,0.397895495123183
72,0.39137220903817105
73,0.47376118385506294
74,0.44835548538619296
75,0.3701394099056867
76,0.34988450462797904
77,0.3062633444334888
78,0.38040979884879855
79,0.505509812118772
80,0.290655023510592
81,0.3621110889965884
82,0.5441778311185175
83,0.4057548329655569
84,0.3943799081864827
85,0.3804276869877966
86,0.38517029765739863
87,0.2351142120892068
88,0.41333682550769424
89,0.3516716889389425
90,0.5388064145464897
91,0.4174689253950693
92,0.36343138281873666
93,0.43058572828986486
94,0.4440599790148363
95,0.46818625730037555
96,0.36000092296541253
97,0.503274348302616
98,0.39297140802573804
99,0.3711513009740982
