,importance
dDM,0.0248967028037079
E_S1,0.04763493082308082
dEST,0.05359079810500813
E_T1,0.06026406722351774
f_S1,0.10830922043335107
HOMO,0.1497981584658183
LUMO,0.5555061221455162
