y_pred,y_exp
31.388085859227296,24
9.210356898840882,17
11.340480718978068,74
4.158663059171854,0
14.27317460673352,8
21.400294480505607,2
11.984152964827183,39
27.973797992123977,56
24.29784971157676,0
13.436058841146927,1
40.78262109655933,37
8.085933288636229,0
31.069258063902986,65
15.625870029501232,1
4.663535711011204,2
1.66009896351477,0
3.78683947959386,0
2.169158736650232,0
14.761229066892882,2
29.239708855761208,58
24.635385003910866,24
27.946709701470642,43
5.54363903437312,0
6.07112866696866,1
16.162981905033515,34
41.245760888353985,49
9.902233476410434,2
7.582626303885099,0
3.3540666680141156,0
7.16283870353151,1
3.191836733938013,0
2.6501663628154404,2
13.5291328493474,6
5.017931414636246,1
6.659585012564158,2
37.78143215288788,58
42.8858996427429,13
4.281680392132573,0
29.902478376865563,51
3.320009010420237,0
18.27723089358459,74
29.32818348827402,47
6.425823934652952,0
2.186259500454027,0
34.68048397928775,79
51.54411496617031,55
10.048751205705296,71
26.330251741853704,0
2.259629079790516,0
3.5624572419919125,0
