Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,MK_0,MK_1,MK_2,MK_3,MK_4,MK_5,MK_6,MK_7,MK_8,MK_9,MK_10,MK_11,Yield
4CzIPN,OPS1,-0.20639,-0.0888,3.262,0.185,3.033,0.229,14.2242,0.511930908,-2.49200242,-2.130210467,-2.640833185,1.409418928,-0.603797629,-1.350987706,0.410803428,-2.446030954,-1.834737838,-0.120162831,0.198822211,74
4tBuCzIPN,OPS2,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,17.0602,1.043803617,-2.118312137,-2.701170075,-2.849725537,0.201192161,-1.199867243,1.822694924,-2.158972586,-2.762137969,-3.358494565,0.636993805,-0.419774225,47
4MeCzIPN,OPS3,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,15.6786,0.865897187,-2.282771785,-2.162451599,-2.637760268,1.016122482,-1.13838742,0.44020463,-0.852561518,-2.583962483,-2.274989486,-0.27961217,0.080900977,37
4BrCzIPN,OPS4,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,8.3097,1.403940778,-2.653260114,-2.477982365,-2.547114052,1.873808967,0.235875635,-1.568277909,2.370347014,-3.520156976,0.735773924,-0.45077511,0.360312517,55
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,7.2548,-0.720985389,-0.31175821,1.436885794,-3.186547985,3.243522689,-5.110524394,3.631050202,-1.672279324,-3.93118162,1.925512244,-2.346280953,-0.48062103,0
4PhCzIPN,OPS6,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,20.3008,0.511930908,-2.49200242,-2.130210467,-2.640833185,1.409418928,-0.603797629,-1.350987706,0.410803428,-2.446030954,-1.834737838,-0.120162831,0.198822211,22
4DPAIPN,OPS7,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,6.2,-0.601154402,-1.861798623,-1.977313122,0.943750735,0.071002855,2.157603266,0.663285204,1.741043687,-0.976869991,-0.478570984,0.649617179,-0.497292488,74
4tBuDPAIPN,OPS8,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,7.4625,-0.069281693,-1.488108341,-2.548272731,0.734858383,-1.137223912,1.561533652,3.836967833,-0.828732327,-1.292977006,-2.002327711,1.406773815,-1.115888924,17
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,6.204,-0.247188122,-1.652567988,-2.009554254,0.946823652,-0.322293591,1.623013475,2.454477539,0.477678741,-1.11480152,-0.918822632,0.49016784,-0.615213722,29
4FDPAIPN,OPS10,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,8.538,0.768610519,-1.822576652,-1.986714679,0.731753647,0.141680948,2.961457086,0.545001821,3.33997003,-1.713836673,1.736891404,0.073663666,-1.30378766,71
4ClDPAIPN,OPS11,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,11.4693,0.251013109,-2.056681575,-2.12620212,0.684598174,0.32267092,2.817158834,0.513247709,3.531589933,-2.483756789,1.999905606,-0.172590853,-0.522280791,78
4BrDPAIPN,OPS12,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0432,0.290855468,-2.023056317,-2.325085021,1.037469869,0.535392894,2.99727653,0.445995,3.700587273,-2.050996013,2.091940778,0.319004901,-0.335802182,74
3CzClIPN,OPS13,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,6.0861,1.311392986,-2.564205728,-2.006955426,-2.925575648,1.331884931,0.082164073,-1.497862335,2.108513334,-3.471969647,0.820306984,-0.908653902,0.352226906,75
3tBuCzClIPN,OPS14,-0.20437,-0.09025,3.2311,0.1443,2.9647,0.2664,7.3891,1.843265695,-2.190515445,-2.577915034,-3.134467999,0.123658164,-0.513905542,1.675820295,-0.461262679,-3.788076663,-0.703449744,-0.151497266,-0.26636953,49
3OMeCzClIPN,OPS15,-0.19139,-0.08693,3.0702,0.15,2.816,0.2542,10.7946,0.07847669,-0.383961517,1.560140835,-3.471290447,3.165988692,-4.424562692,3.484175573,0.025430582,-4.957120314,4.580557065,-3.134772023,-0.327216335,0
4CzPN,OPS16,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,23.532,0.511930908,-2.49200242,-2.130210467,-2.640833185,1.409418928,-0.603797629,-1.350987706,0.410803428,-2.446030954,-1.834737838,-0.120162831,0.198822211,58
4DPAPN,OPS17,-0.19091,-0.07659,3.1116,0.0363,2.7239,0.3877,24.7422,-0.601154402,-1.861798623,-1.977313122,0.943750735,0.071002855,2.157603266,0.663285204,1.741043687,-0.976869991,-0.478570984,0.649617179,-0.497292488,6
4CzTPN,OPS18,-0.20627,-0.0993,3.083,0.2632,2.86,0.223,0.0025,0.511930908,-2.49200242,-2.130210467,-2.640833185,1.409418928,-0.603797629,-1.350987706,0.410803428,-2.446030954,-1.834737838,-0.120162831,0.198822211,13
4DPATPN,OPS19,-0.18716,-0.07998,2.8199,0.2384,2.4316,0.3883,1.1786,-0.601154402,-1.861798623,-1.977313122,0.943750735,0.071002855,2.157603266,0.663285204,1.741043687,-0.976869991,-0.478570984,0.649617179,-0.497292488,2
1CzTRZ,OPS20,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,7.781,0.619346087,-2.348222998,-1.418109027,-2.886126994,0.083725824,-0.884186917,-1.619826521,-0.866047566,0.663683202,0.183862174,1.39769994,3.798143439,1
1tBuCzTRZ,OPS21,-0.19256,-0.06941,3.7237,0.8453,3.262,0.4617,12.5004,1.151218796,-1.974532716,-1.989068636,-3.095019346,-1.124500943,-1.480256532,1.553856109,-3.435823579,0.347576186,-1.339894553,2.154856576,3.179547004,6
1DPATRZ,OPS22,-0.18787,-0.06162,3.5635,1.1287,2.9505,0.613,13.9532,0.016044702,-2.023105204,-1.422130737,-1.277896958,-0.567508988,0.394133346,-0.752265061,-0.324411349,1.916267512,1.619119032,2.445466758,4.438167788,34
1tBuDPATRZ,OPS23,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.3583,0.547917412,-1.649414921,-1.993090345,-1.48678931,-1.775735755,-0.201936268,2.421417569,-2.894187363,1.600160497,0.095362304,3.202623394,3.819571353,39
1ClDPATRZ,OPS24,-0.19729,-0.06844,3.6168,1.114,3.022,0.5948,9.7855,0.868212214,-2.217988156,-1.571019735,-1.537049519,-0.315840923,1.053688914,-0.902302556,1.466134897,0.409380713,4.097595621,1.623258726,4.413179486,11
1BrDPATRZ,OPS25,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,8.5219,0.908054573,-2.184362898,-1.769902636,-1.184177824,-0.10311895,1.23380661,-0.969555264,1.635132236,0.84214149,4.189630793,2.11485448,4.599658095,24
1OMeDPATRZ,OPS26,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.5369,-1.024833186,-0.421097636,1.428947131,-1.516313231,0.90854842,-2.549642962,2.818863478,-2.764709121,0.726810044,5.431303001,0.179550053,3.761530912,12
1PhDPATRZ,OPS27,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,12.5267,0.016044702,-2.023105204,-1.422130737,-1.277896958,-0.567508988,0.394133346,-0.752265061,-0.324411349,1.916267512,1.619119032,2.445466758,4.438167788,26
