Name,ID,MK_0,MK_1,MK_2,MK_3,MK_4,MK_5,MK_6,MK_7,MK_8,MK_9,MK_10,MK_11,Yield
4CzIPN,OPS1,0.5119309076978361,-2.492002419778121,-2.13021046666523,-2.6408331854104587,1.4094189282508998,-0.6037976289174937,-1.3509877061369997,0.4108034279825044,-2.446030953712365,-1.834737837611851,-0.1201628309661234,0.1988222108407701,74
4tBuCzIPN,OPS2,1.043803616917666,-2.1183121371532443,-2.7011700750417225,-2.849725537054501,0.2011921610415172,-1.199867243007288,1.8226949235228256,-2.1589725856416697,-2.762137969077906,-3.3584945652300133,0.6369938048673197,-0.4197742247870603,47
4MeCzIPN,OPS3,0.86589718737683,-2.2827717848648152,-2.162451598688894,-2.6377602680463665,1.0161224818664265,-1.13838742019469,0.4402046298036984,-0.8525615179235173,-2.583962482762579,-2.2749894862036317,-0.279612169870136,0.0809009773910561,37
4BrCzIPN,OPS4,1.4039407780434296,-2.653260113845703,-2.477982365309255,-2.5471140517146287,1.8738089665331448,0.2358756351414855,-1.5682779093421708,2.370347013541373,-3.5201569755764446,0.7357739240456834,-0.4507751095525719,0.360312516905722,55
4OMeCzIPN,OPS5,-0.7209853886088335,-0.3117582096409393,1.4368857942538384,-3.1865479849849,3.2435226888012325,-5.110524393544795,3.63105020196016,-1.6722793238049551,-3.9311816200001175,1.9255122439312624,-2.34628095269968,-0.4806210301021748,0
4PhCzIPN,OPS6,0.5119309076978361,-2.492002419778121,-2.13021046666523,-2.6408331854104587,1.4094189282508998,-0.6037976289174937,-1.3509877061369997,0.4108034279825044,-2.446030953712365,-1.834737837611851,-0.1201628309661234,0.1988222108407701,22
4DPAIPN,OPS7,-0.6011544018649561,-1.8617986233729784,-1.9773131223917744,0.9437507348548052,0.0710028553849452,2.1576032659048643,0.6632852035367902,1.7410436870297383,-0.9768699907687864,-0.4785709837544654,0.6496171792294617,-0.4972924882567286,74
4tBuDPAIPN,OPS8,-0.0692816926451263,-1.4881083407481022,-2.548272730768267,0.7348583832107629,-1.1372239118244365,1.5615336518150702,3.836967833196616,-0.8287323265944369,-1.2929770061343278,-2.002327711372628,1.4067738150629048,-1.115888923884559,17
4MeDPAIPN,OPS9,-0.2471881221859621,-1.652567988459673,-2.0095542544154386,0.9468236522188976,-0.3222935909995281,1.6230134746276683,2.4544775394774887,0.477678741123716,-1.114801519819001,-0.9188226323462456,0.4901678403254492,-0.6152137217064426,29
4FDPAIPN,OPS10,0.7686105192041,-1.822576651871043,-1.986714678632692,0.7317536466825535,0.141680948006863,2.961457085515325,0.5450018212280185,3.339970030091985,-1.7138366734307993,1.7368914043885413,0.0736636660510336,-1.3037876604416574,71
4ClDPAIPN,OPS11,0.2510131093645803,-2.0566815754163787,-2.126202120274188,0.6845981743808993,0.3226709200414459,2.817158833953642,0.513247708515898,3.5315899332563854,-2.483756789394258,1.99990560587124,-0.1725908530542391,-0.522280790703936,78
4BrDPAIPN,OPS12,0.2908554684806371,-2.0230563174405605,-2.3250850210358003,1.0374698685506356,0.5353928936671909,2.997276529963844,0.4459950003316194,3.700587272588607,-2.0509960126328663,2.091940777903069,0.3190049006430132,-0.3358021821917768,74
3CzClIPN,OPS13,1.311392986123924,-2.5642057275762804,-2.006955425605091,-2.9255756475497474,1.3318849313033034,0.0821640725220758,-1.4978623351128866,2.1085133342795856,-3.471969647230681,0.8203069839074147,-0.9086539016027968,0.3522269055232981,75
