Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,RDKit_0,RDKit_1,RDKit_2,RDKit_3,RDKit_4,RDKit_5,RDKit_6,RDKit_7,RDKit_8,RDKit_9,RDKit_10,RDKit_11,Yield
4CzIPN,OPS1,-0.20639,-0.0888,3.262,0.185,3.033,0.229,4.6952,8.08605231,-0.540608138,4.44025344,1.751339276,2.595942119,3.271497997,-1.185556279,-2.340209585,0.255244425,0.369568843,-1.155263352,1.058589939,74
4tBuCzIPN,OPS2,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,6.1138,16.45601191,-0.885053972,0.029023918,10.12876278,1.211229587,-1.962680449,0.930052712,3.385531665,0.722916138,-1.49405953,0.915614581,-0.06032542,47
4MeCzIPN,OPS3,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,5.1244,10.5342452,-0.239512066,3.265981261,4.448702695,1.988608968,1.902888726,-1.081681695,-0.696391608,0.639500911,0.613337665,-1.933376971,0.355123594,37
4BrCzIPN,OPS4,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,6.2874,12.47746613,1.531404737,2.014668509,-0.309336257,0.372213718,8.2528079,-0.098906084,4.126925911,1.111374711,1.024349908,1.854730941,-2.756361048,55
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,6.2109,13.72797859,11.73992659,12.0285326,-4.302032812,-1.426910056,-7.57794137,-2.998378525,1.027769933,1.96421046,-1.659722692,-0.571304162,-1.473393199,0
4PhCzIPN,OPS6,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,10.1616,21.8333822,-3.114846002,4.344474372,3.485722196,4.428978032,2.105151039,-0.198298351,-4.161215536,-3.341460222,0.142122222,2.390073489,-1.924295564,22
4DPAIPN,OPS7,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,5.9165,7.336607406,-0.325935805,-1.757987953,-2.893388277,-1.330167284,-0.02804036,0.642828221,-2.857240259,0.226588756,1.625176218,-3.260038075,1.650052494,74
4tBuDPAIPN,OPS8,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,6.9252,15.78250129,-1.255335314,-5.89748833,6.104268171,-2.567448589,-5.26189561,2.798358824,2.748952178,0.700862577,-0.146426829,-0.881574196,0.30202007,17
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,5.3216,9.809032541,-0.631862858,-2.745488735,0.54581076,-1.837956154,-1.491108978,0.824646752,-1.354200135,0.838100498,2.021588152,-3.672899654,0.764929294,29
4FDPAIPN,OPS10,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,2.8928,8.959216219,6.672668316,-6.433816512,-0.346206658,-5.980282862,0.345515474,1.310730818,-6.910341555,7.1264975,-2.858725639,2.757854564,7.795214007,71
4ClDPAIPN,OPS11,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,4.7062,10.69625202,3.971345553,-3.416491565,-7.059099013,-2.995991913,4.433916398,1.787316256,7.005003374,4.884674023,1.506313197,-0.855571476,-0.159235103,78
4BrDPAIPN,OPS12,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0311,11.74328794,1.687117038,-4.357956746,-4.896135263,-3.619806845,4.774128027,1.830073521,3.539083643,1.084177051,2.09032333,-0.185760262,-2.008400832,74
3CzClIPN,OPS13,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,1.5389,4.240870029,0.090799012,3.638905288,0.418041638,1.463224847,4.023560411,-0.776514969,-0.466209878,1.156935557,0.153953155,-1.142006728,1.072150985,75
3tBuCzClIPN,OPS14,-0.20437,-0.09025,3.2311,0.1443,2.9647,0.2664,5.4178,10.61378015,-0.287886207,0.242956147,7.225655832,0.413296501,-0.147048278,0.765101402,3.921573235,1.652486119,-1.155142197,0.495298893,0.067395682,49
3OMeCzClIPN,OPS15,-0.19139,-0.08693,3.0702,0.15,2.816,0.2542,6.0345,8.48656598,9.298894106,9.333378568,-3.67973251,-1.681612962,-4.430520709,-2.038583045,1.994281038,2.31846542,-1.299281913,-0.509944212,-0.903752597,0
4CzPN,OPS16,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,7.9573,8.076259129,-0.747037558,4.286858902,2.030713472,2.607117582,3.123479419,-1.138373816,-2.420196434,0.249621997,0.275894208,-0.93377634,1.033674122,58
