Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Yield
1BrDPATRZ,OPS25,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,9.9429,-4.176784856,-6.069748898,-3.590258071,11.40803227,7.135556916,-3.95378739,3.79959432,-2.0803131,-3.956068256,24
1OMeDPATRZ,OPS26,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.8605,-3.571459873,-0.168073728,-1.071200674,6.110453241,-6.592145615,2.285303505,4.853949054,-5.920206137,3.112662685,12
1PhDPATRZ,OPS27,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9955,2.577253323,1.284384452,-9.512825468,2.023439396,-0.41654667,6.39421026,4.732556668,-1.195907829,-2.964087379,26
1PTZTRZ,OPS28,-0.18237,-0.07461,3.552,0.0001,3.4653,0.0867,8.0495,-7.693778788,-3.131180798,-5.811934933,-0.354281646,0.900435206,1.340415458,4.742696041,-1.93658098,-7.337891148,2
2CzBP,OPS29,-0.20318,-0.07263,3.7099,0.0185,3.2,0.5099,0.1285,-4.903375996,-4.19396334,-7.930312479,-4.900817835,4.395996268,10.02994729,-1.968667893,-6.390891815,-0.620079804,2
2DMABP,OPS30,-0.18839,-0.03296,3.8921,0.0113,3.2177,0.6744,1.3981,-20.67245872,13.95668699,4.389739262,12.02919149,-7.479350238,-6.973876568,-2.482553108,-4.783173516,5.702799782,0
2DPABP,OPS31,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,2.221,-6.191094359,1.302834245,-10.86371773,3.352063566,0.271477732,9.676431834,2.712224424,1.47071362,1.613603799,47
2tBuDPABP,OPS32,-0.18033,-0.04947,3.5525,1.2289,3.0124,0.5401,2.6577,15.7737997,24.28538513,0.000543774,8.94171466,4.013229748,6.820657336,-3.012048419,0.793002795,-0.054320234,51
2MeDPABP,OPS33,-0.18065,-0.04943,3.5628,1.2249,3.0017,0.5611,2.8512,-0.263793694,7.985392938,-5.158518803,6.093401767,-0.709961052,4.577861564,3.320805889,-0.168198382,0.289330196,43
2ClDPABP,OPS34,-0.19983,-0.06696,3.6407,1.1958,3.0588,0.5819,2.2934,-0.735107408,-5.755186638,-4.243127468,14.69665078,6.727604546,6.319740448,0.381256893,-2.46475466,2.57945718,47
2BrDPABP,OPS35,-0.19934,-0.06713,3.6355,1.2161,3.061,0.5745,2.2171,2.079864869,-8.890338514,-4.08989943,21.70443049,17.81108362,-1.790226852,0.915915826,-2.95236391,0.516413151,42
2PhDPABP,OPS36,-0.18364,-0.05648,3.4923,1.3807,3.0058,0.4865,2.4829,15.47765883,2.89885632,-13.21935366,4.998274594,4.481703401,17.36841962,3.678254324,-2.120912554,0.828086033,58
2CzPN,OPS37,-0.21407,-0.09152,3.5246,0.1345,3.1201,0.4045,8.9235,-4.094487082,-9.203039827,-2.715447337,-6.465249504,-1.02034487,-1.609333826,-2.93177565,-4.415620588,-0.902258413,24
2tBuCzPN,OPS38,-0.20513,-0.08754,3.3855,0.1164,3.0249,0.3606,10.6589,17.31345178,17.74210924,6.885243919,-3.206476589,-0.638007895,-6.439953922,-6.478224812,-1.403360334,-0.924838418,56
2ClCzPN,OPS39,-0.22798,-0.10735,3.5473,0.1024,3.1826,0.3647,9.5656,0.700427084,-17.12574915,4.099750704,3.732979369,4.815980117,-5.506407267,-4.600015193,-6.88216299,0.227812211,29
1tBuDPAN,OPS40,-0.17692,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7692,-7.30673789,21.35062857,-2.006992845,4.038228411,-0.123603086,-7.467311771,-2.014685758,-0.330399116,-1.102633496,0
PNZN,OPS41,-0.17142,-0.04905,3.5257,0,3.3342,0.1915,0.2419,-20.17371137,-3.186411304,-5.518736943,-3.428295039,-3.968506028,-2.890392888,1.897270355,-2.312365738,-2.399698009,3
biphenylPNZN,OPS42,-0.17067,-0.05197,3.4578,0.0005,2.9913,0.4665,2.335,3.503228842,0.722897393,-8.787900057,-1.158845017,-0.122526759,3.786680743,3.413040221,-4.105343563,-3.637429313,62
PTZN,OPS43,-0.17982,-0.04987,3.76,0.0003,3.3275,0.4325,0.14,-19.79468084,-1.398141165,-8.460412174,-2.60060338,2.394606467,-6.942250738,2.165308522,-3.270331885,-5.123626947,1
biphenylPTZN,OPS44,-0.17757,-0.05224,3.6231,0.4335,3.118,0.5051,1.4197,3.339941997,1.835299535,-11.37523535,-0.168823959,3.163736946,2.173259267,3.608567645,-6.019694711,-6.064812708,76
CF3PTZN,OPS45,-0.18961,-0.0591,3.6146,0.3629,3.1037,0.5109,2.0169,-1.060670415,-8.981093132,15.09829843,10.48873772,-3.314359481,15.36575976,-3.601735486,-5.839450318,-11.23023118,49
2DPAB,OPS46,-0.16958,-0.01609,3.8658,0.0227,3.291,0.5748,0,-12.54861492,3.296973943,-13.52411036,0.919735158,-1.528697761,2.811718288,4.592843524,3.154598693,3.997179451,0
2DPAN,OPS47,-0.17654,-0.04474,3.4914,0.4022,2.8244,0.667,1.3985,-7.836204577,1.416131013,-12.02704774,-1.825306351,-3.486225128,-0.498352519,6.361845914,2.853573525,0.180767556,1
2tBuDPAN,OPS48,-0.17028,-0.04135,3.4103,0.4193,2.784,0.6263,1.6284,13.54913195,25.55371101,-0.565053824,4.754717877,2.065219522,-0.993354252,-1.689594818,1.285165134,-0.191783401,1
2MeDPAN,OPS49,-0.16909,-0.04084,3.3744,0.4004,2.7522,0.6222,1.6649,-1.960536155,8.529891162,-5.901496643,1.161048088,-3.5588907,-4.41467336,5.643902131,0.950233509,-0.033090158,1
2DPAA,OPS50,-0.17836,-0.06945,2.9725,0.2857,2.1241,0.8484,0,-3.18667775,-0.700942844,-11.26553843,-4.894770246,-5.298136403,-3.080809142,7.547234192,4.091615425,-2.174516772,0
2tBuDPAA,OPS51,-0.17252,-0.0666,2.8792,0.2813,2.1027,0.7765,0.0152,17.82737431,23.41299998,-0.362389473,1.739432155,0.844339773,-2.085980429,-1.288160455,1.938301822,-1.068852929,0
2MeDPAA,OPS52,-0.17204,-0.06625,2.8733,0.2734,2.1007,0.7726,0.0098,2.567488678,6.317601439,-5.667495182,-2.116567961,-4.817210068,-5.920644554,6.197187813,2.075271571,-1.586382276,0
2OMeDPAA,OPS53,-0.16348,-0.0643,2.7205,0.254,2.0389,0.6816,0,4.670658039,-0.686607922,-0.156048402,2.969253777,-8.7610897,1.289636672,7.32020344,-7.230376648,9.586612797,0
3CzNB,OPS54,-0.20716,-0.08754,3.4177,0.0669,3.0551,0.3626,1.2401,7.996363294,-11.62467503,-0.30098733,-8.615900151,-0.912551951,1.710066051,-6.410781727,-0.845091855,-5.510463573,0
3DPANB,OPS55,-0.18594,-0.06772,3.1973,0.0899,2.9176,0.2797,4.1276,6.190790743,-3.781223201,-3.802199368,1.145963772,-6.440677423,0.732942019,0.323169606,11.41599766,-2.075770646,2
3MeDPANB,OPS56,-0.17746,-0.05853,3.1371,0.1188,2.832,0.3051,4.7899,13.77524035,5.246005736,1.964643503,3.908984734,-5.14816804,-2.360208889,-0.637784742,8.733332031,-0.885162293,0
3BrDPANB,OPS57,-0.20296,-0.08203,3.2471,0.1278,2.8964,0.3507,4.726,15.89000123,-16.39013326,3.780676908,21.7764817,16.69898333,-11.62850459,-0.638462193,6.996082398,-0.034140421,8
2CzAQ,OPS58,-0.20593,-0.1085,3.1012,0,2.7358,0.3654,0,-1.07956749,-9.002295454,-2.906636993,-5.15493071,2.759980645,8.12356654,-4.271433852,-6.63027936,-3.065963688,0
2DPAAQ,OPS59,-0.19071,-0.08747,2.9778,0,2.4274,0.5504,0,-2.232305199,-3.652741326,-5.416603414,1.971670672,-1.653019517,7.398876039,0.526705747,1.422404225,-1.184251311,0
2DPASF,OPS60,-0.19054,-0.04376,3.8676,0.907,3.2936,0.574,3.101,-4.603405285,1.508578636,-6.90110968,8.153915832,3.250840098,10.69930386,0.738858597,-1.276722439,-3.121178742,0
2tBuDPASF,OPS61,-0.18418,-0.03958,3.8148,0.9369,3.2521,0.5627,3.499,17.10698614,24.08131916,2.69949841,11.80616169,6.238562117,8.356048271,-4.813657649,-0.978994597,-3.602417126,1
2MeDPASF,OPS62,-0.18439,-0.03949,3.8224,0.9468,3.2533,0.5691,3.442,1.20895921,8.104987785,-1.768379909,9.920511084,2.183259116,6.107691595,1.280727025,-2.430839638,-3.946583902,0
