Name,ID,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Yield
4CzIPN,OPS1,23.4917384111358,-13.473598053350456,-1.62507616900206,-14.174284731642237,-1.5419724462822737,-2.4634366075753964,-2.263996995528438,-3.2528302286148256,-3.7493441483138974,74
4tBuCzIPN,OPS2,60.51329903422874,23.604916402120157,10.712096635646947,-10.259825597415702,4.212251959338035,0.7055678444547633,-13.931967372418445,-0.7538553547378442,1.736350716007414,47
4MeCzIPN,OPS3,32.47239480802068,-2.4207863449921843,4.028010372591412,-13.596710137579484,0.0669599916504788,-3.848336562385712,-3.9033284675716127,-3.2053485496923217,-1.83521579502786,37
4BrCzIPN,OPS4,34.533288090491325,-28.646686354482792,5.808387809655056,6.262193861456067,22.84983150252445,-14.434875907487973,-2.681988200603656,-5.708909836987152,-1.4791118840995825,55
4OMeCzIPN,OPS5,37.53851181468409,-12.271944416871374,13.292789013968491,-6.34356707038538,-8.831135894092853,1.6818370637784057,2.534665062619655,-14.655920061424824,17.52395686657569,0
4PhCzIPN,OPS6,61.65631153932274,-7.083217117334763,-6.626979325579497,-12.4146305888247,3.22272735992205,11.375577506511164,0.7538548784396091,-6.35828436321871,-0.5219342165099241,22
4DPAIPN,OPS7,20.91820056769016,-5.545183423171565,-5.607144008855124,-2.8455345615651595,-8.336980024674594,-3.77541157096429,6.289046317855058,12.187283239052752,0.2808050336355734,74
4tBuDPAIPN,OPS8,56.85012439053501,29.78845118139354,6.930022312359716,3.721963696046084,5.605454011360265,5.6538627400251205,-10.897400195487254,8.091617378007664,5.973805593233702,17
4MeDPAIPN,OPS9,30.52083465090904,5.125198595359541,0.8629728021551639,-0.1356485702088176,-5.6141943191734525,-5.077261471134445,3.187915931209464,9.062791530386775,2.910321139238155,29
4FDPAIPN,OPS10,25.7823957666734,-18.197619151308324,13.86321345879271,12.98701782101009,-14.694448838492564,10.56456275200795,6.211994559467026,6.341833617057359,7.926189491003596,71
4ClDPAIPN,OPS11,27.412723341512084,-15.421381356280074,3.1104343219808577,11.032290498920716,2.50613484728404,-4.52717784709422,5.560511081594159,7.062335541241088,6.2660374125762806,78
4BrDPAIPN,OPS12,31.489222035189005,-19.431323175195164,2.526535484258642,19.131024327188555,18.40994901084853,-14.427401699135627,5.611291220944885,7.311746896215101,4.4787868190223765,74
3CzClIPN,OPS13,11.517602773790069,-14.107847940425025,-0.0336574419394745,-10.819150540404875,-1.4320807597236618,-4.902620844734288,-3.711619309414708,-1.6656273099548642,-4.495724790331808,75
3tBuCzClIPN,OPS14,40.6908037403224,18.969184923057952,10.141571309780456,-7.440791185533344,1.709577764251399,-4.449766727021078,-11.08600922191309,0.8199650126427267,-0.5471021319617628,49
3OMeCzClIPN,OPS15,22.601664846555227,-12.480326170435449,12.721152181943562,-4.246792445197049,-8.391109278099984,-2.3624441711210187,1.055782320137151,-11.356021983226391,12.911807520534364,0
4CzPN,OPS16,23.614940080111506,-13.25114569020898,-1.451955109955133,-13.816214667995103,-1.8608619243578024,-2.610123612467054,-1.4026266727279986,-3.5713340725973777,-2.979560959768313,58
4DPAPN,OPS17,20.86353489022068,-5.671391491097328,-5.356388869610302,-2.5712309190756915,-8.834817893956043,-4.023246262367911,7.455543560832187,11.949086657192671,1.0432971059681015,6
4CzTPN,OPS18,23.19715797957185,-13.586372243482389,-1.721701369658556,-13.97982317109195,-2.250493759000177,-2.342681408014156,-1.7024621019298898,-3.211760478525316,-3.1585006638849222,13
4DPATPN,OPS19,20.644105749562904,-5.960567770892977,-5.720965081621316,-2.690196919274681,-9.107808280768,-3.588674273387686,6.858949268689958,12.23383039689132,0.888133524102845,2
1CzTRZ,OPS20,-7.528073098990382,-2.997749658255404,-5.859561428230597,-3.827072271867531,-1.266884987767661,2.045151311125309,3.217902148367617,-2.8107984944458595,-5.010380775372293,1
1tBuCzTRZ,OPS21,4.974011619671453,12.306089484913905,1.2575455293304274,-0.854862797979538,-2.5347943931180823,-3.612181416361152,0.8548412932473188,-1.8545040470229348,-5.957764814314478,6
1DPATRZ,OPS22,-8.274947716047684,0.0546202633792525,-7.762903779158414,0.9676967592156844,-3.2541275611299927,2.2495467886001603,4.836294291556641,1.267198238038652,-3.327353706793417,34
1tBuDPATRZ,OPS23,3.918755866860371,15.271278792809069,-0.6134764816464504,5.105583802481867,-0.9741374340412272,-0.5840980555445487,0.1049571422107106,-0.3369784459189926,-3.7513460987002247,39
1ClDPATRZ,OPS24,-5.6015942001515775,-4.191259326319548,-3.674520948051675,7.76539811492874,0.6416682011076084,0.3362650142940243,3.517315827665486,-1.661763029488336,-2.7062227893200697,11
1BrDPATRZ,OPS25,-4.1767848555856855,-6.069748900525829,-3.5902580733999505,11.40803231644474,7.135556299296102,-3.953786448084543,3.7995976297867298,-2.080365906073589,-3.9561195214529543,24
1OMeDPATRZ,OPS26,-3.5714598734417677,-0.1680737315132962,-1.0712006764856117,6.110453261746921,-6.592146490880264,2.285304669972568,4.853948593731111,-5.920298491412019,3.1127052441953964,12
1PhDPATRZ,OPS27,2.577253322769246,1.284384443443528,-9.512825476999655,2.0234394954819006,-0.4165483243583427,6.394213673576878,4.732553889173589,-1.19608906036034,-2.9642069530771726,26
1PTZTRZ,OPS28,-7.69377878840114,-3.1311807979614845,-5.811934930862558,-0.3542816719921267,0.9004351296010298,1.3404148269297098,4.742699621029031,-1.9365900308127333,-7.337773962988015,2
