Yield
41
62
40
35
24
41
63
54
57
70
66
58
34
55
27
33
40
42
60
33
38
34
30
35
32
30
34
37
23
24
27
30
25
22
19
29
40
37
30
9
9
18
18
14
21
15
24
22
12
43
28
34
1
0
0
0
9
0
0
0
21
13
3
0
0
46
54
24
21
10
22
40
7
12
19
2
0
0
5
17
4
2
0
0
1
15
0
2
20
0
0
0
0
0
0
1
0
0
0
0
