Yield
95
98
97
10
33
71
95
28
39
80
98
97
50
76
35
63
49
10
98
7
92
99
82
99
97
4
85
16
2
2
99
99
97
99
99
99
55
99
23
1
2
43
1
50
19
1
2
9
7
2
1
2
2
0
16
8
5
0
0
2
2
4
9
4
8
87
99
0
4
4
1
3
2
2
56
0
0
0
2
2
1
23
18
0
0
6
0
2
7
0
1
1
0
1
0
0
1
1
0
0
