Yield
92
94
92
94
87
94
88
49
74
89
91
92
92
89
85
89
91
75
93
79
86
80
73
80
85
59
79
87
3
7
39
36
29
34
40
57
92
92
84
31
62
51
61
69
68
34
38
35
24
75
57
57
9
0
15
0
52
0
0
1
28
22
14
0
3
52
87
12
48
0
44
70
0
4
0
5
0
0
15
36
0
1
2
0
0
0
0
0
51
0
0
0
0
0
0
0
0
0
0
0
