Yield
62
83
73
69
33
73
88
49
73
89
91
92
31
70
5
51
91
0
93
16
53
21
16
46
42
2
38
39
0
0
1
2
0
1
1
3
23
82
7
0
5
3
3
10
11
0
0
2
0
4
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
36
42
0
0
0
0
12
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
