Yield
69
83
78
65
52
79
67
74
78
63
69
72
60
67
61
62
81
45
53
40
47
31
28
40
40
29
45
59
15
18
14
19
12
13
19
24
58
70
52
6
11
38
10
42
15
7
18
25
15
57
33
48
8
4
1
12
12
3
0
3
3
4
1
0
2
83
76
34
21
6
8
21
1
3
39
23
0
0
12
6
9
6
2
0
0
6
20
16
35
1
0
2
0
2
3
4
11
5
0
0
