Yield
99
45
23
98
0
36
98
98
99
97
99
99
63
56
0
54
4
9
13
0
95
94
97
98
97
32
97
11
0
0
9
81
54
5
5
96
4
10
3
0
10
7
2
90
95
0
4
53
0
2
2
2
0
0
0
0
0
0
0
0
0
0
2
0
0
5
17
0
0
0
0
59
0
0
94
0
0
0
0
0
0
0
5
0
0
0
0
0
0
0
4
3
0
0
0
0
0
0
0
0
